코드,설명
106193000,"포유류; 영장류, 고래, 돌고래, 돌고래목 돌고래과 포유류, 해우, 듀공목 시레니아과 포유류, 물개, 바다사자, 해마(피니피디아과 포유류), 낙타, 기타 낙타목 낙타과, 토끼 및 토끼 이외의 살아있는 동물.; 사슴"
106194000,"포유류; 영장류, 고래, 돌고래, 돌고래목 돌고래과 포유류, 해우, 듀공목 시레니아과 포유류, 물개, 바다사자, 해마(피니피디아과 포유류), 낙타, 기타 낙타목 낙타과, 토끼 및 토끼 이외의 살아있는 동물.; 곰"
106195010,"포유류; 영장류, 고래, 돌고래, 돌고래목 돌고래과 포유류, 해우, 듀공목 시레니아과 포유류, 물개, 바다사자, 해마(피니피디아과 포유류), 낙타, 기타 낙타목 낙타과, 토끼 및 토끼 이외의 살아있는 동물.; 여우; 번식용"
106195090,"포유류; 영장류, 고래, 돌고래, 돌고래목 돌고래과 포유류, 해우, 듀공목 시레니아과 포유류, 물개, 바다사자, 해마(피니피디아과 포유류), 낙타, 기타 낙타목 낙타과, 토끼 및 토끼 이외의 살아있는 동물.; 여우; 기타"
106196010,"포유류; 영장류, 고래, 돌고래, 돌고래목 돌고래과 포유류, 해우, 듀공목 시레니아과 포유류, 물개, 바다사자, 해마(피니피디아과 포유류), 낙타, 기타 낙타목 낙타과, 토끼 및 토끼 이외의 살아있는 동물.; 밍크; 번식용"
106196090,"포유류; 영장류, 고래, 돌고래, 돌고래목 돌고래과 포유류, 해우, 듀공목 시레니아과 포유류, 물개, 바다사자, 해마(피니피디아과 포유류), 낙타, 기타 낙타목 낙타과, 토끼 및 토끼 이외의 살아있는 동물.; 밍크; 기타"
106199000,"포유류; 영장류, 고래, 돌고래, 돌고래목 돌고래과 포유류, 해우, 듀공목 시레니아과 포유류, 물개, 바다사자, 해마(피니피디아과 포유류), 낙타, 기타 낙타목 낙타과, 토끼 및 토끼 이외의 살아있는 동물.; 기타"
106201000,"파충류, 살아있는 동물(뱀 및 거북이 포함); 뱀"
106202000,"파충류, 살아있는 동물(뱀 및 거북이 포함); 자라"
106203000,"파충류, 살아있는 동물(뱀 및 거북이 포함); 거북"
106209000,"파충류, 살아있는 동물(뱀 및 거북이 포함); 기타"
106310000,"새; 살아있는, 맹금류; 맹금류"
106320000,"새; 살아있는, 시타카목; 앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다]"
106330000,"새; 살아있는, 타조; 에뮤(Dromaius novaehollandiae); 타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)]"
106390000,"조류; 맹금류, 시타카목, 타조, 에뮤(Dromaius novaehollandiae)를 제외한 살아있는 조류; 기타"
106410000,"곤충; 살아있는, 꿀벌; 벌"
106490000,"곤충, 벌을 제외한 살아있는 것; 기타"
106901000,"동물; 포유류, 파충류, 조류 및 곤충을 제외한 01장의 살아있는 동물; 양서류"
106903010,"동물; 포유류, 파충류, 조류 및 곤충을 제외한 01장의 살아있는 동물; 환형동물류; 갯지렁이"
106903020,"동물; 포유류, 파충류, 조류 및 곤충을 제외한 01장의 살아있는 동물; 환형동물류; 실지렁이"
106903090,"동물; 포유류, 파충류, 조류 및 곤충을 제외한 01장의 살아있는 동물; 환형동물류; 기타"
106909000,"동물; 포유류, 파충류, 조류 및 곤충을 제외한 01장의 살아있는 동물; 기타"
201100000,"육류; 소 동물, 도체 및 반도체의 신선 또는 냉장육; 도체(屠體)와 이분도체(二分屠體)"
201201000,"육류; 소 동물의 뼈가 있는 부위(도체 및 반도체 제외), 신선하거나 냉장된 것; 갈비"
201209000,"육류; 소 동물의 뼈가 있는 부위(도체 및 반도체 제외), 신선하거나 냉장된 것; 기타"
201300000,"육류; 소 동물의 뼈 없는 부위, 신선하거나 냉장된 것; 뼈 없는 것"
202100000,"육류; 소 동물, 도체 및 반도체의 냉동육; 도체(屠體)와 이분도체(二分屠體)"
202201000,"육류; 소 동물 중 뼈가 있는 부위(도체 및 반도체 제외), 냉동 식품; 갈비"
202209000,"육류; 소 동물 중 뼈가 있는 부위(도체 및 반도체 제외), 냉동 식품; 기타"
202300000,"육류; 소 동물, 뼈없는 부위, 냉동; 뼈 없는 것"
203110000,"육류; 돼지, 도체 및 반도체의 신선 또는 냉장육; 도체(屠體)와 이분도체(二分屠體)"
203120000,"육류; 돼지, 햄, 어깨 및 그 부위, 뼈가 들어있는 신선하거나 냉장 된 것; 넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다)"
203191000,"육류; 돼지의, n.e.c., 품목 번호. 0203.1, 신선 또는 냉장; 삼겹살"
203199000,"육류; 돼지의, n.e.c., 품목 번호. 0203.1, 신선 또는 냉장; 기타"
203210000,"육류; 돼지, 도체 및 반 도체, 냉동 식품; 도체(屠體)와 이분도체(二分屠體)"
203220000,"고기; 돼지, 햄, 어깨 및 그 부위, 뼈가 들어있는 냉동 냉동; 넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다)"
203291000,"육류; 돼지의, 품목 번호. 0203.2, 냉동; 삼겹살"
203299000,"육류; 돼지의, 품목 번호. 0203.2, 냉동; 기타"
204100000,"육류; 양, 양 사체 및 반쯤 익힌 사체, 신선하거나 냉장된 것; 어린 면양의 도체(屠體)와 이분도체(二分屠體)(신선한 것이나 냉장한 것으로 한정한다)"
204210000,"육류; 양, 도체 및 반도체(양고기의 도체 및 반도체 제외), 신선 또는 냉장 제품; 도체(屠體)와 이분도체(二分屠體)"
204220000,"육류; 양(양고기 포함), 뼈가 있는 부위(도체 및 반도체 제외), 신선하거나 냉장된 것; 그 밖의 것으로서 뼈째로 절단한 것"
204230000,"육류; 양(양고기 포함), 뼈 없는 부위, 신선하거나 냉장된 것; 뼈 없는 것"
204300000,"육류; 양, 양 시체 및 반 시체, 냉동된 것; 어린 면양의 도체(屠體)와 이분도체(二分屠體)(냉동한 것으로 한정한다)"
204410000,"육류; 양, 도체 및 반도체(양고기의 도체 및 반도체 제외), 냉동 제품; 도체(屠體)와 이분도체(二分屠體)"
204420000,"육류; 양(양고기 포함), 뼈가 있는 부위(도체 및 반도체 제외), 냉동 식품; 그 밖의 것으로서 뼈째로 절단한 것"
204430000,"육류; 양(양고기 포함), 뼈 없는 부위, 냉동 식품; 뼈 없는 것"
204500000,"육류; 염소, 신선, 냉장 또는 냉동 제품; 염소의 고기"
205000000,"육류; 말, 나귀, 노새 또는 히니의 신선, 냉장 또는 냉동 제품; 말ㆍ당나귀ㆍ노새ㆍ버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)"
206100000,"내장, 식용; 소 동물의 신선 또는 냉장 보관된 것; 소의 것(신선한 것이나 냉장한 것으로 한정한다)"
206210000,"내장, 식용; 소 동물, 혀, 냉동; 혀"
206220000,"내장, 식용; 소 동물, 간, 냉동; 간"
206291000,"내장, 식용; 소 동물의 (혀와 간을 제외한) 냉동 제품; 꼬리"
206292000,"내장, 식용; 소 동물의 (혀와 간을 제외한) 냉동 제품; 족"
206299000,"내장, 식용; 소 동물의 (혀와 간을 제외한) 냉동 제품; 기타"
206300000,"내장, 식용; 돼지, 신선하거나 냉장된 것; 돼지의 것(신선한 것이나 냉장한 것으로 한정한다)"
206410000,"내장, 식용; 돼지, 간, 냉동; 간"
206491000,"내장, 식용, 돼지 (간 제외), 냉동; 족"
206499000,"내장, 식용, 돼지 (간 제외), 냉동; 기타"
206800000,"내장, 식용; 양, 염소, 말, 나귀, 노새 또는 히니의 신선하거나 냉장된 것; 기타(신선한 것이나 냉장한 것으로 한정한다)"
206900000,"내장, 식용; 양, 염소, 말, 나귀, 노새 또는 히니의 냉동 제품; 기타(냉동한 것으로 한정한다)"
207110000,"육류 및 식용 내장; 갈루스 국내루스 종의 닭, 조각으로 자르지 않은 신선하거나 냉장 된 것; 절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다)"
207120000,육류 및 식용 내장; 조각으로 자르지 않고 냉동 된 Gallus domesticus 종의 가금류; 절단하지 않은 육(냉동한 것으로 한정한다)
207131000,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 신선하거나 냉장 된 절단 및 내장; 절단육"
207132010,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 신선하거나 냉장 된 절단 및 내장; 설육(屑肉); 간"
207132090,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 신선하거나 냉장 된 절단 및 내장; 설육(屑肉); 기타"
207141010,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 절단 및 내장, 냉동; 절단육; 다리"
207141020,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 절단 및 내장, 냉동; 절단육; 가슴"
207141030,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 절단 및 내장, 냉동; 절단육; 날개"
207141090,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 절단 및 내장, 냉동; 절단육; 기타"
207142010,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 절단 및 내장, 냉동; 설육(屑肉); 간"
207142090,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 절단 및 내장, 냉동; 설육(屑肉); 기타"
207240000,"칠면조 고기 및 식용 내장, 조각으로 자르지 않은 신선 또는 냉장 칠면조 고기; 절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다)"
207250000,"고기 및 식용 내장, 칠면조, 조각으로 자르지 않은 냉동 칠면조고기; 절단하지 않은 육(냉동한 것으로 한정한다)"
207261000,"육류 및 식용 내장, 칠면조, 부위 및 내장, 신선하거나 냉장 보관된 것; 절단육"
207262010,"육류 및 식용 내장, 칠면조, 부위 및 내장, 신선하거나 냉장 보관된 것; 설육(屑肉); 간"
207262090,"육류 및 식용 내장, 칠면조, 부위 및 내장, 신선하거나 냉장 보관된 것; 설육(屑肉); 기타"
207271000,"육류 및 식용 내장, 칠면조, 부위 및 내장, 냉동 제품; 절단육"
207272010,"육류 및 식용 내장, 칠면조, 부위 및 내장, 냉동 제품; 설육(屑肉); 간"
207272090,"육류 및 식용 내장, 칠면조, 부위 및 내장, 냉동 제품; 설육(屑肉); 기타"
207410000,"육류 및 식용 내장, 오리의 경우 조각으로 자르지 않은 신선하거나 냉장된 것; 절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다)"
207420000,"고기 및 식용 내장, 조각으로 자르지 않은 냉동 오리; 절단하지 않은 육(냉동한 것으로 한정한다)"
207430000,"육류 및 식용 내장, 오리, 지방간(푸아그라), 신선하거나 냉장 보관한 것; 지방간(신선한 것이나 냉장한 것으로 한정한다)"
207441000,"육류 및 식용 내장, 오리, 부위 및 내장(지방간 제외, 신선 또는 냉장); 절단육"
207442010,"육류 및 식용 내장, 오리, 부위 및 내장(지방간 제외, 신선 또는 냉장); 설육(屑肉); 간"
207442090,"육류 및 식용 내장, 오리, 부위 및 내장(지방간 제외, 신선 또는 냉장); 설육(屑肉); 기타"
207451000,"육류 및 식용 내장, 오리의 지방간을 제외한 부위 및 내장, 냉동 식품; 절단육"
207452010,"육류 및 식용 내장, 오리의 지방간을 제외한 부위 및 내장, 냉동 식품; 설육(屑肉); 간"
207452090,"육류 및 식용 내장, 오리의 지방간을 제외한 부위 및 내장, 냉동 식품; 설육(屑肉); 기타"
207510000,"고기 및 식용 내장, 조각으로 자르지 않은 거위, 신선하거나 차게 식힌 것; 절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다)"
207520000,고기 및 식용 내장; 조각으로 자르지 않고 냉동 된 거위의 경우; 절단하지 않은 육(냉동한 것으로 한정한다)
207530000,"육류 및 식용 내장, 거위, 지방간(푸아그라), 신선 또는 냉장 보관된 것; 지방간(신선한 것이나 냉장한 것으로 한정한다)"
207541000,"육류 및 식용 내장, 지방간을 제외한 거위, 부위 및 내장(신선 또는 냉장); 절단육"
207542010,"육류 및 식용 내장, 지방간을 제외한 거위, 부위 및 내장(신선 또는 냉장); 설육(屑肉); 간"
207542090,"육류 및 식용 내장, 지방간을 제외한 거위, 부위 및 내장(신선 또는 냉장); 설육(屑肉); 기타"
207551000,"육류 및 식용 내장, 거위의 지방간을 제외한 부위 및 내장, 냉동 식품; 절단육"
207552010,"육류 및 식용 내장, 거위의 지방간을 제외한 부위 및 내장, 냉동 식품; 설육(屑肉); 간"
207552090,"육류 및 식용 내장, 거위의 지방간을 제외한 부위 및 내장, 냉동 식품; 설육(屑肉); 기타"
207601000,"육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다)"
207602000,"육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 절단하지 않은 육(냉동한 것으로 한정한다)"
207603100,"육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 기타(신선한 것이나 냉장한 것으로 한정한다); 절단육"
207603210,"육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 기타(신선한 것이나 냉장한 것으로 한정한다); 설육(屑肉); 간"
207603290,"육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 기타(신선한 것이나 냉장한 것으로 한정한다); 설육(屑肉); 기타"
207604100,"육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 기타(냉동한 것으로 한정한다); 절단육"
207604210,"육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 기타(냉동한 것으로 한정한다); 설육(屑肉); 간"
207604290,"육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 기타(냉동한 것으로 한정한다); 설육(屑肉); 기타"
208100000,"육류 및 식용 육류 내장, 토끼 또는 토끼의 신선, 냉장 또는 냉동 제품; 토끼의 것"
208300000,"육류 및 식용 육 내장, 영장류의 신선, 냉장 또는 냉동 제품; 영장류의 것"
208401000,"고래, 돌고래, 돌고래목 고래목 포유류, 매너티, 듀공목 포유류, 물개, 바다사자, 바다코끼리목 포유류, 피니피디아목 포유류의 신선, 냉장 또는 냉동 제품; 고래 ? 돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티·듀공(바다소목의 포유동물)의 것"
208402000,"고래, 돌고래, 돌고래목 고래목 포유류, 매너티, 듀공목 포유류, 물개, 바다사자, 바다코끼리목 포유류, 피니피디아목 포유류의 신선, 냉장 또는 냉동 제품; 물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)의 것"
208500000,"육류 및 식용 육류 내장, 파충류(뱀 및 거북이 포함), 신선, 냉장 또는 냉동 제품; 파충류의 것(뱀과 거북을 포함한다)"
208600000,"육류 및 식용 육 내장, 낙타 및 기타 낙타과(Camelidae)의 신선, 냉장 또는 냉동 제품; 낙타와 그 밖의 낙타과[카멜리대(Camelidae)과]의 것"
208901000,"육류 및 식용 육 내장, 신선, 냉장 또는 냉동, 2장 참조; 사슴의 것"
208909010,"육류 및 식용 육 내장, 신선, 냉장 또는 냉동, 2장 참조; 기타; 해양동물의 것"
208909090,"육류 및 식용 육 내장, 신선, 냉장 또는 냉동, 2장 참조; 기타; 기타"
209100000,"지방; 돼지 지방, 살코기가 없고, 렌더링하거나 다른 방식으로 추출하지 않은 것, 신선, 냉장, 냉동, 소금에 절인 것, 소금물에 담근 것, 건조 또는 훈제된 것; 돼지의 것"
209900000,"지방; 가금류 지방, 렌더링 또는 기타 추출되지 않은 것, 신선, 냉장, 냉동, 소금에 절인 것, 소금물에 담근 것, 건조 또는 훈제된 것; 기타"
210110000,"육류; 소금물에 소금에 절인, 건조 또는 훈제, 돼지, 햄, 어깨 및 그 부위, 뼈가 들어있는 것; 넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다)"
210120000,"육류; 소금물에 절인, 소금물에 절인, 건조 또는 훈제, 돼지, 배 (줄무늬) 및 그 부위; 복부살(삼겹살)과 이를 절단한 것"
210190000,"육류; 소금물에 염장, 건조 또는 훈제, 돼지고기, 기타 품목 번호. 0210.1; 기타"
210201000,"육류; 소금물에 절인, 소금물에 절인, 건조 또는 훈제된 소 동물의 육류; 건조하거나 훈제한 것"
210209000,"육류; 소금물에 절인, 소금물에 절인, 건조 또는 훈제된 소 동물의 육류; 기타"
210910000,"육류 및 식용 육류 내장, 소금물에 절인 것, 건조 또는 훈제된 것, 영장류의 식용 밀가루 및 육류 또는 육류 내장으로 만든 식품; 영장류의 것"
210921000,"육류 및 식용 육류 내장, 소금에 절이거나 소금물에 담그거나 건조 또는 훈제된 것, 식용 밀가루, 고래, 돌고래, 돌고래목(고래목 세타시아); 매너티, 듀공(시레니아목 시레니아); 물개, 바다사자, 바다코끼리(피니피디아 아목 피니피디아)의 고기 또는 고기 내장으로 만든 식육 제품; 고래 ? 돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물)의 것"
210922000,"육류 및 식용 육류 내장, 소금에 절이거나 소금물에 담그거나 건조 또는 훈제된 것, 식용 밀가루, 고래, 돌고래, 돌고래목(고래목 세타시아); 매너티, 듀공(시레니아목 시레니아); 물개, 바다사자, 바다코끼리(피니피디아 아목 피니피디아)의 고기 또는 고기 내장으로 만든 식육 제품; 물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)의 것"
210930000,"육류 및 식용 육류 내장, 소금물에 절인 것, 건조 또는 훈제된 것, 파충류(뱀 및 거북이 포함)의 육류 또는 육류 내장으로 만든 식용 밀가루 및 식용 식품; 파충류의 것(뱀과 거북을 포함한다)"
210991010,"영장류, 고래, 돌고래, 돌고래, 바다코끼리, 매너티, 듀공, 물개, 바다사자, 해마, 파충류(뱀, 거북 포함)를 제외한 육류 및 식용 육류 내장, 소금에 절이거나 염장, 건조 또는 훈제, 식용 밀가루 및 육류 또는 육류 내장으로 만든 음식물; 육이나 설육(屑肉)의 식용 고운 가루ㆍ거친 가루; 소의 것"
210991090,"영장류, 고래, 돌고래, 돌고래, 바다코끼리, 매너티, 듀공, 물개, 바다사자, 해마, 파충류(뱀, 거북 포함)를 제외한 육류 및 식용 육류 내장, 소금에 절이거나 염장, 건조 또는 훈제, 식용 밀가루 및 육류 또는 육류 내장으로 만든 음식물; 육이나 설육(屑肉)의 식용 고운 가루ㆍ거친 가루; 기타"
210999020,"영장류, 고래, 돌고래, 돌고래, 바다코끼리, 매너티, 듀공, 물개, 바다사자, 해마, 파충류(뱀, 거북 포함)를 제외한 육류 및 식용 육류 내장, 소금에 절이거나 염장, 건조 또는 훈제, 식용 밀가루 및 육류 또는 육류 내장으로 만든 음식물; 기타; 가금(家禽)류의 것"
210999090,"영장류, 고래, 돌고래, 돌고래, 바다코끼리, 매너티, 듀공, 물개, 바다사자, 해마, 파충류(뱀, 거북 포함)를 제외한 육류 및 식용 육류 내장, 소금에 절이거나 염장, 건조 또는 훈제, 식용 밀가루 및 육류 또는 육류 내장으로 만든 음식물; 기타; 기타"
301111000,"물고기; 활어, 관상용, 민물고기; 비단잉어"
301119000,"물고기; 활어, 관상용, 민물고기; 기타"
301190000,"물고기; 살아있는, 관상용, 민물 이외의 것; 기타"
301910000,"물고기; 활어, 송어(살모 트루타, 온코린치스 미키스, 온코린치스 클라키, 온코린치스 아구아보니타, 온코린치스 길래, 온코린치스 아파치, 온코린치스 크리소가스터); 송어[살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)ㆍ옹코링쿠스 아파케(Oncorhynchus apache)ㆍ옹코링쿠스 크리소가스터(Oncorhynchus chrysogaster)]"
301921000,"생선; 활어, 뱀장어(아귀과); 실뱀장어(한 마리당 0.3그램 이하인 것으로서 양식용으로 한정한다)"
301922000,"생선; 활어, 뱀장어(아귀과); 새끼뱀장어(한 마리당 0.3그램 초과 50그램 이하인 것으로서 양식용으로 한정한다)"
301929010,"생선; 활어, 뱀장어(아귀과); 기타; 실뱀장어(양식용은 제외한다)"
301929090,"생선; 활어, 뱀장어(아귀과); 기타; 기타"
301931000,"어류; 활어, 잉어(키프리누스, 카라시우스, 테노파리고돈 이델루스, 하이포팔미치스, 시르리누스, 밀로파리고돈 피세우스, 카틀라 카틀라, 라베오, 오스테오킬루스 하셀티, 렙토바버스 회베니, 메갈로브라마 등); 붕어[카라시우스(Carassius)속]"
301939000,"어류; 활어, 잉어(키프리누스, 카라시우스, 테노파리고돈 이델루스, 하이포팔미치스, 시르리누스, 밀로파리고돈 피세우스, 카틀라 카틀라, 라베오, 오스테오킬루스 하셀티, 렙토바버스 회베니, 메갈로브라마 등); 기타"
301940000,"어류; 살아있는 대서양 참다랑어, 태평양 참다랑어(Thunnus thynnus, Thunnus orientalis); 대서양 참다랑어와 태평양 참다랑어[터너스 티너스 (Thunnus thynnus)ㆍ터너스 오리엔탈리스(Thunnus orientalis)]"
301950000,어류; 살아있는 남방 참다랑어(Thunnus maccoyii); 남방 참다랑어[터너스 맥코이(Thunnus maccoyii)]
301992000,"물고기; 살아있는 것, 기타(0301류); 방어"
301994010,"물고기; 살아있는 것, 기타(0301류); 돔; 치어(稚魚)(양식용으로 한정한다)"
301994091,"물고기; 살아있는 것, 기타(0301류); 돔; 기타; 참돔[파그루스 마조르(Pagrus major)]"
301994099,"물고기; 살아있는 것, 기타(0301류); 돔; 기타; 기타"
301995000,"물고기; 살아있는 것, 기타(0301류); 붕장어"
301996000,"물고기; 살아있는 것, 기타(0301류); 갯장어"
301997000,"물고기; 살아있는 것, 기타(0301류); 먹장어"
301998000,"물고기; 살아있는 것, 기타(0301류); 넙치류[플루로넥티대(Pleuronectidae)과ㆍ바디대(Bothidae)과ㆍ사이노글로시대(Cynoglossidae)과ㆍ솔레이대(Soleidae)과ㆍ스코프탈미대(Scophthalmidae)과ㆍ시타리대(Citharidae)과]"
301999010,"물고기; 살아있는 것, 기타(0301류); 기타; 능성어"
301999020,"물고기; 살아있는 것, 기타(0301류); 기타; 복어"
301999040,"물고기; 살아있는 것, 기타(0301류); 기타; 볼락(적어를 포함한다)"
301999051,"물고기; 살아있는 것, 기타(0301류); 기타; 농어; 치어(稚魚)(양식용으로 한정한다)"
301999059,"물고기; 살아있는 것, 기타(0301류); 기타; 농어; 기타"
301999060,"물고기; 살아있는 것, 기타(0301류); 기타; 숭어"
301999070,"물고기; 살아있는 것, 기타(0301류); 기타; 미꾸라지"
301999080,"물고기; 살아있는 것, 기타(0301류); 기타; 메기"
301999091,"물고기; 살아있는 것, 기타(0301류); 기타; 기타; 노래미[헥사그라모스(Hexagrammos)속ㆍ아그라무스(Agrammus)속]"
301999092,"물고기; 살아있는 것, 기타(0301류); 기타; 기타; 붕어[카라시우스(Carassius)속은 제외한다]"
301999095,"물고기; 살아있는 것, 기타(0301류); 기타; 기타; 민어"
301999099,"물고기; 살아있는 것, 기타(0301류); 기타; 기타; 기타"
302110000,"생선; 신선 또는 냉장 송어(살모 트루타, 온코린치스 미키스, 온코린치스 클라키, 온코린치스 아구아보니타, 온코린치스 길래, 온코린치스 아파치, 온코린치스 크리소가스터), 필렛 제외, 0304의 어육 및 0302.9의 식용 어 내장류.; 송어[살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)ㆍ옹코링쿠스 아파케(Oncorhynchus apache)ㆍ옹코링쿠스 크리소가스터(Oncorhynchus chrysogaster)]"
