코드,설명
010620,"파충류, 살아있는 동물(뱀 및 거북이 포함); 뱀, 자라, 거북, 기타"
010631,"새; 살아있는, 맹금류; 맹금류"
010632,"새; 살아있는, 시타카목; 앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다]"
010633,"새; 살아있는, 타조; 에뮤(Dromaius novaehollandiae); 타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)]"
010639,"조류; 맹금류, 시타카목, 타조, 에뮤(Dromaius novaehollandiae)를 제외한 살아있는 조류; 기타"
010641,"곤충; 살아있는, 꿀벌; 벌"
010649,"곤충, 벌을 제외한 살아있는 것; 기타"
010690,"동물; 포유류, 파충류, 조류 및 곤충을 제외한 01장의 살아있는 동물; 양서류, 환형동물류;갯지렁이, 실지렁이, 기타, 기타"
020110,"육류; 소 동물, 도체 및 반도체의 신선 또는 냉장육; 도체(屠體)와 이분도체(二分屠體)"
020120,"육류; 소 동물의 뼈가 있는 부위(도체 및 반도체 제외), 신선하거나 냉장된 것; 갈비, 기타"
020130,"육류; 소 동물의 뼈 없는 부위, 신선하거나 냉장된 것; 뼈 없는 것"
020210,"육류; 소 동물, 도체 및 반도체의 냉동육; 도체(屠體)와 이분도체(二分屠體)"
020220,"육류; 소 동물 중 뼈가 있는 부위(도체 및 반도체 제외), 냉동 식품; 갈비, 기타"
020230,"육류; 소 동물, 뼈없는 부위, 냉동; 뼈 없는 것"
020311,"육류; 돼지, 도체 및 반도체의 신선 또는 냉장육; 도체(屠體)와 이분도체(二分屠體)"
020312,"육류; 돼지, 햄, 어깨 및 그 부위, 뼈가 들어있는 신선하거나 냉장 된 것; 넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다)"
020319,"육류; 돼지의, n.e.c., 품목 번호. 0203.1, 신선 또는 냉장; 삼겹살, 기타"
020321,"육류; 돼지, 도체 및 반 도체, 냉동 식품; 도체(屠體)와 이분도체(二分屠體)"
020322,"고기; 돼지, 햄, 어깨 및 그 부위, 뼈가 들어있는 냉동 냉동; 넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다)"
020329,"육류; 돼지의, 품목 번호. 0203.2, 냉동; 삼겹살, 기타"
020410,"육류; 양, 양 사체 및 반쯤 익힌 사체, 신선하거나 냉장된 것; 어린 면양의 도체(屠體)와 이분도체(二分屠體)(신선한 것이나 냉장한 것으로 한정한다)"
020421,"육류; 양, 도체 및 반도체(양고기의 도체 및 반도체 제외), 신선 또는 냉장 제품; 도체(屠體)와 이분도체(二分屠體)"
020422,"육류; 양(양고기 포함), 뼈가 있는 부위(도체 및 반도체 제외), 신선하거나 냉장된 것; 그 밖의 것으로서 뼈째로 절단한 것"
020423,"육류; 양(양고기 포함), 뼈 없는 부위, 신선하거나 냉장된 것; 뼈 없는 것"
020430,"육류; 양, 양 시체 및 반 시체, 냉동된 것; 어린 면양의 도체(屠體)와 이분도체(二分屠體)(냉동한 것으로 한정한다)"
020441,"육류; 양, 도체 및 반도체(양고기의 도체 및 반도체 제외), 냉동 제품; 도체(屠體)와 이분도체(二分屠體)"
020442,"육류; 양(양고기 포함), 뼈가 있는 부위(도체 및 반도체 제외), 냉동 식품; 그 밖의 것으로서 뼈째로 절단한 것"
020443,"육류; 양(양고기 포함), 뼈 없는 부위, 냉동 식품; 뼈 없는 것"
020450,"육류; 염소, 신선, 냉장 또는 냉동 제품; 염소의 고기"
020500,"육류; 말, 나귀, 노새 또는 히니의 신선, 냉장 또는 냉동 제품; 말ㆍ당나귀ㆍ노새ㆍ버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)"
020610,"내장, 식용; 소 동물의 신선 또는 냉장 보관된 것; 소의 것(신선한 것이나 냉장한 것으로 한정한다)"
020621,"내장, 식용; 소 동물, 혀, 냉동; 혀"
020622,"내장, 식용; 소 동물, 간, 냉동; 간"
020629,"내장, 식용; 소 동물의 (혀와 간을 제외한) 냉동 제품; 꼬리, 족, 기타"
020630,"내장, 식용; 돼지, 신선하거나 냉장된 것; 돼지의 것(신선한 것이나 냉장한 것으로 한정한다)"
020641,"내장, 식용; 돼지, 간, 냉동; 간"
020649,"내장, 식용, 돼지 (간 제외), 냉동; 족, 기타"
020680,"내장, 식용; 양, 염소, 말, 나귀, 노새 또는 히니의 신선하거나 냉장된 것; 기타(신선한 것이나 냉장한 것으로 한정한다)"
020690,"내장, 식용; 양, 염소, 말, 나귀, 노새 또는 히니의 냉동 제품; 기타(냉동한 것으로 한정한다)"
020711,"육류 및 식용 내장; 갈루스 국내루스 종의 닭, 조각으로 자르지 않은 신선하거나 냉장 된 것; 절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다)"
020712,육류 및 식용 내장; 조각으로 자르지 않고 냉동 된 Gallus domesticus 종의 가금류; 절단하지 않은 육(냉동한 것으로 한정한다)
020713,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 신선하거나 냉장 된 절단 및 내장; 절단육, 설육(屑肉);간, 기타"
020714,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 절단 및 내장, 냉동; 절단육;다리, 가슴, 날개, 기타, 설육(屑肉);간, 기타"
020724,"칠면조 고기 및 식용 내장, 조각으로 자르지 않은 신선 또는 냉장 칠면조 고기; 절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다)"
020725,"고기 및 식용 내장, 칠면조, 조각으로 자르지 않은 냉동 칠면조고기; 절단하지 않은 육(냉동한 것으로 한정한다)"
020726,"육류 및 식용 내장, 칠면조, 부위 및 내장, 신선하거나 냉장 보관된 것; 절단육, 설육(屑肉);간, 기타"
020727,"육류 및 식용 내장, 칠면조, 부위 및 내장, 냉동 제품; 절단육, 설육(屑肉);간, 기타"
020741,"육류 및 식용 내장, 오리의 경우 조각으로 자르지 않은 신선하거나 냉장된 것; 절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다)"
020742,"고기 및 식용 내장, 조각으로 자르지 않은 냉동 오리; 절단하지 않은 육(냉동한 것으로 한정한다)"
020743,"육류 및 식용 내장, 오리, 지방간(푸아그라), 신선하거나 냉장 보관한 것; 지방간(신선한 것이나 냉장한 것으로 한정한다)"
020744,"육류 및 식용 내장, 오리, 부위 및 내장(지방간 제외, 신선 또는 냉장); 절단육, 설육(屑肉);간, 기타"
020745,"육류 및 식용 내장, 오리의 지방간을 제외한 부위 및 내장, 냉동 식품; 절단육, 설육(屑肉);간, 기타"
020751,"고기 및 식용 내장, 조각으로 자르지 않은 거위, 신선하거나 차게 식힌 것; 절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다)"
020752,고기 및 식용 내장; 조각으로 자르지 않고 냉동 된 거위의 경우; 절단하지 않은 육(냉동한 것으로 한정한다)
020753,"육류 및 식용 내장, 거위, 지방간(푸아그라), 신선 또는 냉장 보관된 것; 지방간(신선한 것이나 냉장한 것으로 한정한다)"
020754,"육류 및 식용 내장, 지방간을 제외한 거위, 부위 및 내장(신선 또는 냉장); 절단육, 설육(屑肉);간, 기타"
020755,"육류 및 식용 내장, 거위의 지방간을 제외한 부위 및 내장, 냉동 식품; 절단육, 설육(屑肉);간, 기타"
020760,"육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품; 절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다), 절단하지 않은 육(냉동한 것으로 한정한다), 기타(신선한 것이나 냉장한 것으로 한정한다);절단육, 설육(屑肉);   설육(屑肉);  설육(屑肉); 설육(屑肉); 간,   설육(屑肉); 설육(屑肉); 기타, 기타(냉동한 것으로 한정한다);절단육, 설육(屑肉);   설육(屑肉);  설육(屑肉); 설육(屑肉); 간,   설육(屑肉); 설육(屑肉); 기타"
020810,"육류 및 식용 육류 내장, 토끼 또는 토끼의 신선, 냉장 또는 냉동 제품; 토끼의 것"
020830,"육류 및 식용 육 내장, 영장류의 신선, 냉장 또는 냉동 제품; 영장류의 것"
020840,"고래, 돌고래, 돌고래목 고래목 포유류, 매너티, 듀공목 포유류, 물개, 바다사자, 바다코끼리목 포유류, 피니피디아목 포유류의 신선, 냉장 또는 냉동 제품; 고래 ? 돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티·듀공(바다소목의 포유동물)의 것, 물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)의 것"
020850,"육류 및 식용 육류 내장, 파충류(뱀 및 거북이 포함), 신선, 냉장 또는 냉동 제품; 파충류의 것(뱀과 거북을 포함한다)"
020860,"육류 및 식용 육 내장, 낙타 및 기타 낙타과(Camelidae)의 신선, 냉장 또는 냉동 제품; 낙타와 그 밖의 낙타과[카멜리대(Camelidae)과]의 것"
020890,"육류 및 식용 육 내장, 신선, 냉장 또는 냉동, 2장 참조; 사슴의 것, 기타;해양동물의 것, 기타"
020910,"지방; 돼지 지방, 살코기가 없고, 렌더링하거나 다른 방식으로 추출하지 않은 것, 신선, 냉장, 냉동, 소금에 절인 것, 소금물에 담근 것, 건조 또는 훈제된 것; 돼지의 것"
020990,"지방; 가금류 지방, 렌더링 또는 기타 추출되지 않은 것, 신선, 냉장, 냉동, 소금에 절인 것, 소금물에 담근 것, 건조 또는 훈제된 것; 기타"
021011,"육류; 소금물에 소금에 절인, 건조 또는 훈제, 돼지, 햄, 어깨 및 그 부위, 뼈가 들어있는 것; 넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다)"
021012,"육류; 소금물에 절인, 소금물에 절인, 건조 또는 훈제, 돼지, 배 (줄무늬) 및 그 부위; 복부살(삼겹살)과 이를 절단한 것"
021019,"육류; 소금물에 염장, 건조 또는 훈제, 돼지고기, 기타 품목 번호. 0210.1; 기타"
021020,"육류; 소금물에 절인, 소금물에 절인, 건조 또는 훈제된 소 동물의 육류; 건조하거나 훈제한 것, 기타"
021091,"육류 및 식용 육류 내장, 소금물에 절인 것, 건조 또는 훈제된 것, 영장류의 식용 밀가루 및 육류 또는 육류 내장으로 만든 식품; 영장류의 것"
021092,"육류 및 식용 육류 내장, 소금에 절이거나 소금물에 담그거나 건조 또는 훈제된 것, 식용 밀가루, 고래, 돌고래, 돌고래목(고래목 세타시아); 매너티, 듀공(시레니아목 시레니아); 물개, 바다사자, 바다코끼리(피니피디아 아목 피니피디아)의 고기 또는 고기 내장으로 만든 식육 제품; 고래 ? 돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물)의 것, 물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)의 것"
021093,"육류 및 식용 육류 내장, 소금물에 절인 것, 건조 또는 훈제된 것, 파충류(뱀 및 거북이 포함)의 육류 또는 육류 내장으로 만든 식용 밀가루 및 식용 식품; 파충류의 것(뱀과 거북을 포함한다)"
021099,"영장류, 고래, 돌고래, 돌고래, 바다코끼리, 매너티, 듀공, 물개, 바다사자, 해마, 파충류(뱀, 거북 포함)를 제외한 육류 및 식용 육류 내장, 소금에 절이거나 염장, 건조 또는 훈제, 식용 밀가루 및 육류 또는 육류 내장으로 만든 음식물; 육이나 설육(屑肉)의 식용 고운 가루ㆍ거친 가루;소의 것, 기타, 기타;가금(家禽)류의 것, 기타"
030111,"물고기; 활어, 관상용, 민물고기; 비단잉어, 기타"
030119,"물고기; 살아있는, 관상용, 민물 이외의 것; 기타"
030191,"물고기; 활어, 송어(살모 트루타, 온코린치스 미키스, 온코린치스 클라키, 온코린치스 아구아보니타, 온코린치스 길래, 온코린치스 아파치, 온코린치스 크리소가스터); 송어[살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)ㆍ옹코링쿠스 아파케(Oncorhynchus apache)ㆍ옹코링쿠스 크리소가스터(Oncorhynchus chrysogaster)]"
030192,"생선; 활어, 뱀장어(아귀과); 실뱀장어(한 마리당 0.3그램 이하인 것으로서 양식용으로 한정한다), 새끼뱀장어(한 마리당 0.3그램 초과 50그램 이하인 것으로서 양식용으로 한정한다), 기타;실뱀장어(양식용은 제외한다), 기타"
030193,"어류; 활어, 잉어(키프리누스, 카라시우스, 테노파리고돈 이델루스, 하이포팔미치스, 시르리누스, 밀로파리고돈 피세우스, 카틀라 카틀라, 라베오, 오스테오킬루스 하셀티, 렙토바버스 회베니, 메갈로브라마 등); 붕어[카라시우스(Carassius)속], 기타"
030194,"어류; 살아있는 대서양 참다랑어, 태평양 참다랑어(Thunnus thynnus, Thunnus orientalis); 대서양 참다랑어와 태평양 참다랑어[터너스 티너스 (Thunnus thynnus)ㆍ터너스 오리엔탈리스(Thunnus orientalis)]"
030195,어류; 살아있는 남방 참다랑어(Thunnus maccoyii); 남방 참다랑어[터너스 맥코이(Thunnus maccoyii)]
030199,"물고기; 살아있는 것, 기타(0301류); 방어, 돔; 치어(稚魚)(양식용으로 한정한다), 기타;  기타;  참돔[파그루스 마조르(Pagrus major)],  기타;돔;치어(稚魚)(양식용으로 한정한다), 기타; 기타; 참돔[파그루스 마조르(Pagrus major)],  기타; 기타, 붕장어, 갯장어, 먹장어, 넙치류[플루로넥티대(Pleuronectidae)과ㆍ바디대(Bothidae)과ㆍ사이노글로시대(Cynoglossidae)과ㆍ솔레이대(Soleidae)과ㆍ스코프탈미대(Scophthalmidae)과ㆍ시타리대(Citharidae)과], 기타; 능성어, 복어, 볼락(적어를 포함한다), 농어;  농어;  치어(稚魚)(양식용으로 한정한다),  농어;기타;능성어, 복어, 볼락(적어를 포함한다), 농어; 농어; 치어(稚魚)(양식용으로 한정한다),  농어; 기타, 숭어, 미꾸라지, 메기, 노래미[헥사그라모스(Hexagrammos)속ㆍ아그라무스(Agrammus)속],   붕어[카라시우스(Carassius)속은 제외한다],   민어,   기타"
030211,"생선; 신선 또는 냉장 송어(살모 트루타, 온코린치스 미키스, 온코린치스 클라키, 온코린치스 아구아보니타, 온코린치스 길래, 온코린치스 아파치, 온코린치스 크리소가스터), 필렛 제외, 0304의 어육 및 0302.9의 식용 어 내장류.; 송어[살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)ㆍ옹코링쿠스 아파케(Oncorhynchus apache)ㆍ옹코링쿠스 크리소가스터(Oncorhynchus chrysogaster)]"
030213,"생선; 신선 또는 냉장, 태평양 연어(Oncorynchus nerka, Oncorynchus gorbuscha, Oncorynchus keta, Oncorynchus tschawytscha, Oncorynchus kisutch, Oncorynchus masou, Oncorynchus rhodurus), 필레 제외, 0304의 살, 0302.9의 식용 생선 내장을 포함해야 합니다.; 태평양 연어[옹코링쿠스 넬카(Oncorhynchus nerka)ㆍ옹코링쿠스 고르부스카(Oncorhynchus gorbuscha)ㆍ옹코링쿠스 케타(Oncorhynchus keta)ㆍ옹코링쿠스 차비차(Oncorhynchus tschawytscha)ㆍ옹코링쿠스 키수츠(Oncorhynchus kisutch)ㆍ옹코링쿠스 마소(Oncorhynchus masou)ㆍ옹코링쿠스 로두루스(Oncorhynchus rhodurus)]"
030214,"생선; 신선 또는 냉장, 대서양 연어(살모 살라) 및 다뉴브 연어(후초 후초), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외; 대서양 연어[살모 살라(Salmo salar)]와 다뉴브 연어[후코 후코(Hucho hucho)]"
030219,"생선; 신선 또는 냉장, 연어과, 품목 번호. 0302.1, 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외; 기타"
030221,"생선; 신선 또는 냉장, 넙치(라인하르트티우스 히포글로소데스, 히포글로스 히포글로스, 히포글로스 스테놀레피스), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외; 넙치[레인하드티우스 히포글러소이데스(Reinhardtius hippoglossoides)ㆍ히포글러서스 히포글러서스(Hippoglossus hippoglossus)ㆍ히포글러서스 스테노레피스(Hippoglossus stenolepis)]"
030222,"생선; 신선 또는 냉장, 가자미(Pleuronectes platessa), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외; 가자미[플루로넥테스 플라테사(Pleuronectes platessa)]"
030223,"생선; 신선 또는 냉장, 가자미(솔레아과), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외; 서대[솔레아(Solea)속]"
030224,"생선; 신선 또는 냉장, 터봇(Psetta maxima, Scophthalmidae), 필렛, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외; 터벗(turbots)[프세타 맥시마(Psetta maxima)]"
030229,"생선; 신선 또는 냉장, 납작한 생선, 품목 번호. 0302.2, 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외; 기타"
030231,"생선; 신선 또는 냉장, 알바코아 또는 긴다랑어(투누스 알랄룽가), 필렛, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외; 날개다랑어나 긴지느러미 다랑어[터너스 알라룽가(Thunnus alalunga)]"
030232,"생선; 신선 또는 냉장 황다랑어(Thunnus albacares), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장을 제외함.; 황다랑어[터너스 알바카레스(Thunnus albacares)]"
030233,"생선; 신선 또는 냉장 가다랑어(줄다랑어)(Katsuwonus pelamis), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외; 가다랑어(줄무늬 버니토)[카추워누스 펠라미스(Katsuwonus pelamis)]"
030234,"생선; 신선 또는 냉장, 큰다랑어(Thunnus obesus), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외; 눈다랑어[터너스 오베서스(Thunnus obesus)]"
030235,"생선; 신선 또는 냉장, 대서양 및 태평양 참다랑어(Thunnus thynnus, Thunnus orientalis), 필렛, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외; 대서양 참다랑어[터너스 티너스 (Thunnus thynnus)], 태평양 참다랑어[터너스 오리엔탈리스(Thunnus orientalis)]"
030236,"생선; 신선 또는 냉장, 남방 참다랑어(Thunnus maccoyii), 필레, 0304류 어육 및 세번 0302.91 내지 0302.99류의 식용 어 내장 제외; 남방 참다랑어[터너스 맥코이(Thunnus maccoyii)]"
030239,"생선; 신선 또는 냉장, 참치, 품목 번호. 0302.3, 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외; 기타"
030241,"생선; 신선 또는 냉장, 청어(Clupea harengus, Clupea pallasii), 필레, 0304류 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장을 제외한 것; 청어[클루페아 하렌구스(Clupea harengus)ㆍ클루페아 팔라시(Clupea pallasii)]"
030242,"생선; 신선 또는 냉장, 멸치(Engraulis spp.), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외; 멸치[엔그라울리스(Engraulis)속]"
030243,"생선; 신선 또는 냉장, 정어리(사르디나 필차두스, 사르디놉스 종), 정어리(사르디넬라 종), 브릴링 또는 스프랏(스프랏투스 스프랏투스), 필렛, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외; 정어리[사르디나 필차르두스(Sardina pilchardus)ㆍ사르디노프스(Sardinops)속], 사르디넬라[사르디넬라(Sardinella)속], 브리스링(brisling)이나 스프랫(sprats)[스프라투스 스프라투스(Sprattus sprattus)]"
030244,"생선; 신선 또는 냉장, 고등어(고등어 스콤브루스, 고등어 오스트랄라시쿠스, 고등어 자포니쿠스), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외; 고등어[스콤버 스콤브루스(Scomber scombrus)ㆍ스콤버 오스트랄라시쿠스(Scomber australasicus)ㆍ스콤버 자포니쿠스(Scomber japonicus)]"
030245,"생선; 신선 또는 냉장, 전갱이 및 전갱이(삼치류), 필레, 0304류 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외; 전갱이[트라커러스(Trachurus)속]"
030246,"생선; 신선 또는 냉장, 코비아(라키센트론 카나둠), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외; 날쌔기[라키센트론 카나둠(Rachycentron canadum)]"
030247,"생선; 신선 또는 냉장, 황새치(시피아스 글라디우스), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외; 황새치[자이피어스 글래디어스(Xiphias gladius)]"
030249,"생선; 신선 또는 냉장, n.e.c.에 있는 품목 번호. 0302.4, 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외; 삼치[스콤버로모러스(Scomberomorus)속], 병어[팜푸스(Pampus)속], 꽁치[콜로라비스 사이라(Cololabis saira)], 기타"
030251,"생선; 신선 또는 냉장, 대구(가두스 모화, 가두스 오각, 가두스 마크로세팔루스), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외; 대구[가두스 모르화(Gadus morhua)ㆍ가두스 오각(Gadus ogac)ㆍ가두스 마크로세팔루스(Gadus macrocephalus)]"
030252,"생선; 신선 또는 냉장, 대구(멜라노그램무스 에글피누스), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외; 해덕[멜라노그라무스 애그레피누스(Melanogrammus aeglefinus)]"
030253,"생선; 신선 또는 냉장, 석탄어(Pollachius virens), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외; 검정대구[폴라치우스 비렌스(Pollachius virens)]"
030254,"생선; 신선 또는 냉장, 대구(메를루치우스, 우로피시스), 필레, 0304호의 어육 및 세번 0302.91 내지 0302.99호의 식용 어내장 제외; 민대구[메루키우스(Merluccius)속ㆍ유르피키스(Urophycis)속]"
030255,"생선; 신선 또는 냉장, 알래스카 명태(테라그라 칼코그램마), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어 내장을 제외함.; 명태[테라그라 찰코그라마(Theragra chalcogramma)]"
030256,"생선; 신선 또는 냉장, 청새치(Micromesistius poutassou, Micromesistius australis), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외; 블루 화이팅스(blue whitings)[마이크로메시스티우스 포우타소우(Micromesistius poutassou)ㆍ마이크로메시스티우스 오스트랄리스(Micromesistius australis)]"
030259,"생선; 신선 또는 냉장, n.e.c.의 품목 번호. 0302.5, 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외; 기타"
030271,"생선; 신선 또는 냉장, 틸라피아(오레오크로미스 종), 필레, 0304류 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외; 틸라피아[오레오크로미스(Oreochromis)속]"
030272,"생선; 신선 또는 냉장, 메기(판가시우스 종, 실루루스 종, 클라리아스 종, 익탈루루스 종), 필레, 0304호의 어육 및 세번 0302.91~0302.99호의 식용 어내장 제외; 메기[판가시우스(Pangasius)속ㆍ실루러스(Silurus)속ㆍ클라리아스(Clarias)속ㆍ익타루러스(Ictalurus)속]"
030273,"생선; 신선 또는 냉장, 잉어(WCO에서 지정한 것), 필레, 0304호의 어육 및 세번 0302.91~0302.99호의 식용 어 내장 제외; 잉어[사이프리너스(Cyprinus)속ㆍ카라시우스(Carassius)속ㆍ크테노파린고돈 이델루스(Ctenopharyngodon idellus)ㆍ하이포프탈미크티스(Hypophthalmichthys)속ㆍ시리누스(Cirrhinus)속ㆍ마일로파린고돈 피세우스(Mylopharyngodon piceus)ㆍ카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)속ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)속]"
030274,"생선; 신선 또는 냉장, 뱀장어(아귀과), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외; 뱀장어[앙귈라(Anguilla)속]"
030279,"생선; 신선 또는 냉장, 나일 농어(Lates niloticus) 및 뱀장어(Channa spp.), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외; 기타"
030281,"생선; 신선 또는 냉장, 개고기 및 기타 상어(필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외); 곱상어와 그 밖의 상어"
030282,"생선; 신선 또는 냉장, 가오리 및 스케이트(라지대), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장을 제외한 것; 가오리와 홍어[라지대(Rajidae)과]"
030283,"생선; 신선 또는 냉장, 이빨고기(디소스티쿠스 종), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장을 제외함.; 이빨고기[디소스티쿠스(Dissostichus)속]"
030284,"생선; 신선 또는 냉장, 농어(디센트라쿠스 종), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외; 농어[디센트라르쿠스(Dicentrarchus)속]"
030285,"생선; 신선 또는 냉장, 도미(참돔과), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외; 돔[스파리대(Sparidae)과]"
