코드,설명
020649,"내장, 식용, 돼지 (간 제외), 냉동"
020680,"내장, 식용; 양, 염소, 말, 나귀, 노새 또는 히니의 신선하거나 냉장된 것"
020690,"내장, 식용; 양, 염소, 말, 나귀, 노새 또는 히니의 냉동 제품"
020711,"육류 및 식용 내장; 갈루스 국내루스 종의 닭, 조각으로 자르지 않은 신선하거나 냉장 된 것"
020712,육류 및 식용 내장; 조각으로 자르지 않고 냉동 된 Gallus domesticus 종의 가금류
020713,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 신선하거나 냉장 된 절단 및 내장"
020714,"육류 및 식용 내장; 갈루스 국내루스 종의 가금류, 절단 및 내장, 냉동"
020724,"칠면조 고기 및 식용 내장, 조각으로 자르지 않은 신선 또는 냉장 칠면조 고기"
020725,"고기 및 식용 내장, 칠면조, 조각으로 자르지 않은 냉동 칠면조고기"
020726,"육류 및 식용 내장, 칠면조, 부위 및 내장, 신선하거나 냉장 보관된 것"
020727,"육류 및 식용 내장, 칠면조, 부위 및 내장, 냉동 제품"
020741,"육류 및 식용 내장, 오리의 경우 조각으로 자르지 않은 신선하거나 냉장된 것"
020742,"고기 및 식용 내장, 조각으로 자르지 않은 냉동 오리"
020743,"육류 및 식용 내장, 오리, 지방간(푸아그라), 신선하거나 냉장 보관한 것"
020744,"육류 및 식용 내장, 오리, 부위 및 내장(지방간 제외, 신선 또는 냉장)"
020745,"육류 및 식용 내장, 오리의 지방간을 제외한 부위 및 내장, 냉동 식품"
020751,"고기 및 식용 내장, 조각으로 자르지 않은 거위, 신선하거나 차게 식힌 것"
020752,고기 및 식용 내장; 조각으로 자르지 않고 냉동 된 거위의 경우
020753,"육류 및 식용 내장, 거위, 지방간(푸아그라), 신선 또는 냉장 보관된 것"
020754,"육류 및 식용 내장, 지방간을 제외한 거위, 부위 및 내장(신선 또는 냉장)"
020755,"육류 및 식용 내장, 거위의 지방간을 제외한 부위 및 내장, 냉동 식품"
020760,"육류 및 식용 내장, 기니피그, 신선, 냉장 또는 냉동 제품"
020810,"육류 및 식용 육류 내장, 토끼 또는 토끼의 신선, 냉장 또는 냉동 제품"
020830,"육류 및 식용 육 내장, 영장류의 신선, 냉장 또는 냉동 제품"
020840,"고래, 돌고래, 돌고래목 고래목 포유류, 매너티, 듀공목 포유류, 물개, 바다사자, 바다코끼리목 포유류, 피니피디아목 포유류의 신선, 냉장 또는 냉동 제품"
020850,"육류 및 식용 육류 내장, 파충류(뱀 및 거북이 포함), 신선, 냉장 또는 냉동 제품"
020860,"육류 및 식용 육 내장, 낙타 및 기타 낙타과(Camelidae)의 신선, 냉장 또는 냉동 제품"
020890,"육류 및 식용 육 내장, 신선, 냉장 또는 냉동, 2장 참조"
020910,"지방; 돼지 지방, 살코기가 없고, 렌더링하거나 다른 방식으로 추출하지 않은 것, 신선, 냉장, 냉동, 소금에 절인 것, 소금물에 담근 것, 건조 또는 훈제된 것"
020990,"지방; 가금류 지방, 렌더링 또는 기타 추출되지 않은 것, 신선, 냉장, 냉동, 소금에 절인 것, 소금물에 담근 것, 건조 또는 훈제된 것"
021011,"육류; 소금물에 소금에 절인, 건조 또는 훈제, 돼지, 햄, 어깨 및 그 부위, 뼈가 들어있는 것"
021012,"육류; 소금물에 절인, 소금물에 절인, 건조 또는 훈제, 돼지, 배 (줄무늬) 및 그 부위"
021019,"육류; 소금물에 염장, 건조 또는 훈제, 돼지고기, 기타 품목 번호. 0210.1"
021020,"육류; 소금물에 절인, 소금물에 절인, 건조 또는 훈제된 소 동물의 육류"
021091,"육류 및 식용 육류 내장, 소금물에 절인 것, 건조 또는 훈제된 것, 영장류의 식용 밀가루 및 육류 또는 육류 내장으로 만든 식품"
021092,"육류 및 식용 육류 내장, 소금에 절이거나 소금물에 담그거나 건조 또는 훈제된 것, 식용 밀가루, 고래, 돌고래, 돌고래목(고래목 세타시아); 매너티, 듀공(시레니아목 시레니아); 물개, 바다사자, 바다코끼리(피니피디아 아목 피니피디아)의 고기 또는 고기 내장으로 만든 식육 제품"
021093,"육류 및 식용 육류 내장, 소금물에 절인 것, 건조 또는 훈제된 것, 파충류(뱀 및 거북이 포함)의 육류 또는 육류 내장으로 만든 식용 밀가루 및 식용 식품"
021099,"영장류, 고래, 돌고래, 돌고래, 바다코끼리, 매너티, 듀공, 물개, 바다사자, 해마, 파충류(뱀, 거북 포함)를 제외한 육류 및 식용 육류 내장, 소금에 절이거나 염장, 건조 또는 훈제, 식용 밀가루 및 육류 또는 육류 내장으로 만든 음식물"
030111,"물고기; 활어, 관상용, 민물고기"
030119,"물고기; 살아있는, 관상용, 민물 이외의 것"
030191,"물고기; 활어, 송어(살모 트루타, 온코린치스 미키스, 온코린치스 클라키, 온코린치스 아구아보니타, 온코린치스 길래, 온코린치스 아파치, 온코린치스 크리소가스터)"
030192,"생선; 활어, 뱀장어(아귀과)"
030193,"어류; 활어, 잉어(키프리누스, 카라시우스, 테노파리고돈 이델루스, 하이포팔미치스, 시르리누스, 밀로파리고돈 피세우스, 카틀라 카틀라, 라베오, 오스테오킬루스 하셀티, 렙토바버스 회베니, 메갈로브라마 등)"
030194,"어류; 살아있는 대서양 참다랑어, 태평양 참다랑어(Thunnus thynnus, Thunnus orientalis)"
030195,어류; 살아있는 남방 참다랑어(Thunnus maccoyii)
030199,"물고기; 살아있는 것, 기타(0301류)"
030211,"생선; 신선 또는 냉장 송어(살모 트루타, 온코린치스 미키스, 온코린치스 클라키, 온코린치스 아구아보니타, 온코린치스 길래, 온코린치스 아파치, 온코린치스 크리소가스터), 필렛 제외, 0304의 어육 및 0302.9의 식용 어 내장류."
030213,"생선; 신선 또는 냉장, 태평양 연어(Oncorynchus nerka, Oncorynchus gorbuscha, Oncorynchus keta, Oncorynchus tschawytscha, Oncorynchus kisutch, Oncorynchus masou, Oncorynchus rhodurus), 필레 제외, 0304의 살, 0302.9의 식용 생선 내장을 포함해야 합니다."
030214,"생선; 신선 또는 냉장, 대서양 연어(살모 살라) 및 다뉴브 연어(후초 후초), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외"
030219,"생선; 신선 또는 냉장, 연어과, 품목 번호. 0302.1, 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외"
030221,"생선; 신선 또는 냉장, 넙치(라인하르트티우스 히포글로소데스, 히포글로스 히포글로스, 히포글로스 스테놀레피스), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외"
030222,"생선; 신선 또는 냉장, 가자미(Pleuronectes platessa), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외"
030223,"생선; 신선 또는 냉장, 가자미(솔레아과), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외"
030224,"생선; 신선 또는 냉장, 터봇(Psetta maxima, Scophthalmidae), 필렛, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외"
030229,"생선; 신선 또는 냉장, 납작한 생선, 품목 번호. 0302.2, 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외"
030231,"생선; 신선 또는 냉장, 알바코아 또는 긴다랑어(투누스 알랄룽가), 필렛, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외"
030232,"생선; 신선 또는 냉장 황다랑어(Thunnus albacares), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장을 제외함."
030233,"생선; 신선 또는 냉장 가다랑어(줄다랑어)(Katsuwonus pelamis), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외"
030234,"생선; 신선 또는 냉장, 큰다랑어(Thunnus obesus), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외"
030235,"생선; 신선 또는 냉장, 대서양 및 태평양 참다랑어(Thunnus thynnus, Thunnus orientalis), 필렛, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외"
030236,"생선; 신선 또는 냉장, 남방 참다랑어(Thunnus maccoyii), 필레, 0304류 어육 및 세번 0302.91 내지 0302.99류의 식용 어 내장 제외"
030239,"생선; 신선 또는 냉장, 참치, 품목 번호. 0302.3, 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외"
030241,"생선; 신선 또는 냉장, 청어(Clupea harengus, Clupea pallasii), 필레, 0304류 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장을 제외한 것"
030242,"생선; 신선 또는 냉장, 멸치(Engraulis spp.), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외"
030243,"생선; 신선 또는 냉장, 정어리(사르디나 필차두스, 사르디놉스 종), 정어리(사르디넬라 종), 브릴링 또는 스프랏(스프랏투스 스프랏투스), 필렛, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외"
030244,"생선; 신선 또는 냉장, 고등어(고등어 스콤브루스, 고등어 오스트랄라시쿠스, 고등어 자포니쿠스), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외"
030245,"생선; 신선 또는 냉장, 전갱이 및 전갱이(삼치류), 필레, 0304류 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외"
030246,"생선; 신선 또는 냉장, 코비아(라키센트론 카나둠), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외"
030247,"생선; 신선 또는 냉장, 황새치(시피아스 글라디우스), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외"
030249,"생선; 신선 또는 냉장, n.e.c.에 있는 품목 번호. 0302.4, 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외"
030251,"생선; 신선 또는 냉장, 대구(가두스 모화, 가두스 오각, 가두스 마크로세팔루스), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외"
030252,"생선; 신선 또는 냉장, 대구(멜라노그램무스 에글피누스), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외"
030253,"생선; 신선 또는 냉장, 석탄어(Pollachius virens), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외"
030254,"생선; 신선 또는 냉장, 대구(메를루치우스, 우로피시스), 필레, 0304호의 어육 및 세번 0302.91 내지 0302.99호의 식용 어내장 제외"
030255,"생선; 신선 또는 냉장, 알래스카 명태(테라그라 칼코그램마), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어 내장을 제외함."
030256,"생선; 신선 또는 냉장, 청새치(Micromesistius poutassou, Micromesistius australis), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외"
030259,"생선; 신선 또는 냉장, n.e.c.의 품목 번호. 0302.5, 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외"
030271,"생선; 신선 또는 냉장, 틸라피아(오레오크로미스 종), 필레, 0304류 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외"
030272,"생선; 신선 또는 냉장, 메기(판가시우스 종, 실루루스 종, 클라리아스 종, 익탈루루스 종), 필레, 0304호의 어육 및 세번 0302.91~0302.99호의 식용 어내장 제외"
030273,"생선; 신선 또는 냉장, 잉어(WCO에서 지정한 것), 필레, 0304호의 어육 및 세번 0302.91~0302.99호의 식용 어 내장 제외"
030274,"생선; 신선 또는 냉장, 뱀장어(아귀과), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어 내장 제외"
030279,"생선; 신선 또는 냉장, 나일 농어(Lates niloticus) 및 뱀장어(Channa spp.), 필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외"
030281,"생선; 신선 또는 냉장, 개고기 및 기타 상어(필레, 0304의 어육 및 세번 0302.91~0302.99의 식용 어내장 제외)"
030282,"생선; 신선 또는 냉장, 가오리 및 스케이트(라지대), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장을 제외한 것"
030283,"생선; 신선 또는 냉장, 이빨고기(디소스티쿠스 종), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장을 제외함."
030284,"생선; 신선 또는 냉장, 농어(디센트라쿠스 종), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외"
030285,"생선; 신선 또는 냉장, 도미(참돔과), 필레, 0304의 어육 및 세번 0302.91 내지 0302.99의 식용 어내장 제외"
030289,"생선; 신선 또는 냉장, 세번 0302호의 필레, 세번 0304호의 어육, 세번 0302.91 내지 0302.99호의 식용 어 내장 제외"
030291,"생선; 신선 또는 냉장, 간, 알, 밀트"
030292,"생선; 신선 또는 냉장, 상어 지느러미"
030299,"생선; 신선 또는 냉장, 생선 지느러미(상어 지느러미 제외), 머리, 꼬리, 아가미 및 기타 식용 가능한 생선 내장"
030311,"생선; 냉동, 태평양 연어, 홍연어(홍연어)(Oncorhynchus nerka), 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장을 제외한 것"
030312,"생선; 냉동, 홍연어(온코린쿠스 네르카)를 제외한 태평양 연어(온코린쿠스 고르부샤/케타/츠샤위샤/키수치/마소/로두루스), 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어내장을 제외한 것, 세번 0303.91~0303.99호"
030313,"생선; 냉동, 대서양 연어(살모 살라) 및 다뉴브 연어(후초 후초), 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어내장을 제외한 것"
030314,"생선; 냉동, 송어(살모 트루타, 온코린치스 미키스, 온코린치스 클라키, 온코린치스 아구아보니타, 온코린치스 길래, 온코린치스 아파치, 온코린치스 크리소가스터), 필렛 제외, 0304의 고기 및 0303.91~0303.99의 식용 어 내장류."
030319,"생선; 냉동, 연어과, 기타 품목 번호. 0303.1, 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장 제외"
030323,"생선; 냉동, 틸라피아(오레오크로미스 종), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장류"
030324,"생선; 냉동, 메기(판가시우스 종, 실루루스 종, 클라리아스 종, 익탈루루스 종), 필레, 0304호의 어육 및 세번 0303.91~0303.99호의 식용 어내장 제외"
030325,"생선; 냉동, 잉어(WCO에서 지정), 필레, 0304의 어육 및 세번 0303.91~0303.99의 식용 어 내장 제외"
030326,"생선; 냉동, 뱀장어(아귀과), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장류"
030329,"생선; 냉동, 나일 농어(Lates niloticus) 및 뱀장어(Channa spp.), 필레, 0304류 어육 및 세번 0303.91 내지 0303.99의 식용 어내장 제외"
030331,"생선; 냉동, 넙치(라인하르트티우스 히포글로소데스, 히포글로스 히포글로스, 히포글로스 스테놀레피스), 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어내장을 제외한 것"
030332,"생선; 냉동, 가자미(Pleuronectes platessa), 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어내장을 제외한 것"
030333,"생선; 냉동, 가자미(솔레아과), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장류"
030334,"생선; 냉동, 터봇(Psetta maxima, Scophthalmidae), 필렛 제외, 0304의 어육 및 세번 0303.91~0303.99의 식용 어 내장류"
030339,"생선; 냉동, 납작한 생선, 품목 번호. 0303.3, 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장 제외"
030341,"생선; 냉동, 알바코아 또는 긴다랑어(투누스 알랄룽가), 필레, 0304류 어육 및 세번 0303.91~0303.99의 식용 어내장 제외"
030342,"생선; 냉동, 황다랑어(Thunnus albacares), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장류"
030343,"생선; 냉동, 가다랑어(줄다랑어)(카츠원누스 펠라미스), 필레, 0304류의 어육 및 세번 0303.91 내지 0303.99류의 식용 어내장 제외"
030344,"생선; 냉동, 눈다랑어(Thunnus obesus), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장류"
030345,"생선; 냉동, 대서양 및 태평양 참다랑어(Thunnus thynnus, Thunnus orientalis), 필렛, 0304류 어육 및 세번 0303.91 내지 0303.99류의 식용 어 내장 제외"
030346,"생선; 냉동, 남방 참다랑어(Thunnus maccoyii), 필레, 0304류의 어육 및 세번 0303.91 내지 0303.99류의 식용 어 내장 제외"
030349,"생선; 냉동, 참치, 품목 번호. 0303.4, 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장을 제외한 것"
030351,"생선; 냉동, 청어(Clupea harengus, Clupea pallasii), 필레, 0304류 어육 및 세번 0303.91 내지 0303.99의 식용 어내장 제외"
030353,"생선; 냉동, 정어리(사르디나 필차두스, 사르디놉스 종), 정어리(사르디넬라 종), 브릴링 또는 스프랏(스프랏투스 스프랏투스), 필렛, 0304의 어육 및 세번 0303.91~0303.99의 식용 어 내장 제외."
030354,"생선; 냉동, 고등어(고등어 스콤브루스, 고등어 오스트랄라시쿠스, 고등어 자포니쿠스), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 생선 내장류"
030355,"생선; 냉동, 전갱이 및 전갱이(Trachurus spp.), 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장을 제외함."
030356,"생선; 냉동, 코비아(라키센트론 카나둠), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장류"
030357,"생선; 냉동, 황새치(시피아스 글라디우스), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어내장"
030359,"생선; 냉동, n.e.c.의 항목 번호. 0303.5, 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장 제외"
030363,"생선; 냉동, 대구(가두스 모화, 가두스 오각, 가두스 마크로세팔루스), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어내장류"
030364,"생선; 냉동, 대구(멜라노그램무스 에글피누스), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 생선 찌꺼기"
030365,"생선; 냉동, 석탄어(폴라치우스 비렌스), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장류"
030366,"생선; 냉동, 대구(메를루치우스 종, 우로피시스 종), 필레 제외, 0304류 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장"
030367,"생선; 냉동, 알래스카 명태(테라그라 칼코그램마), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장류"
030368,"생선; 냉동, 청새치(Micromesistius poutassou, Micromesistius australis), 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어내장 제외"
030369,"생선; 대구, 대구과, 대구과, 가디치과, 마크루리과, 멜라노니과, 멀루치과, 모리과, 무라에놀레피디과, 대구, 대구, 청어, 대구, 알래스카 명태, 청새치, 필레가 아닌 냉동, 0304의 고기 및 식용 내장 0303.9"
030381,"생선; 냉동, 개고기 및 기타 상어(필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어내장은 제외)"
030382,"생선; 냉동, 가오리 및 스케이트(라지대), 필레, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장을 제외함."
030383,"생선; 냉동, 이빨고기(디소스티쿠스 종), 세번 0303.91 내지 0303.99의 필레, 간, 알 및 식용 어류 내장을 제외함."
030384,"생선; 냉동, 농어(디센트라쿠스 종), 필레 제외, 0304의 어육 및 세번 0303.91 내지 0303.99의 식용 어 내장류"
030389,"생선; 냉동, 세번 0303호의 필레, 0304호의 어육 및 세번 0303.91 내지 0303.99호의 식용 어 내장 제외"
030391,"생선; 냉동, 간, 알, 밀트"
030392,"생선; 냉동, 상어 지느러미"
030399,"생선; 냉동, 생선 지느러미(상어 지느러미 제외), 머리, 꼬리, 아가미 및 기타 식용 가능한 생선 내장"
030431,"생선 필레, 신선 또는 냉장, 틸라피아(오레오크로미스 종)"
030432,"생선 필레, 신선 또는 냉장, 메기(판가시우스 종, 실루루스 종, 클라리아스 종, 익탈루루스 종)"
030433,"생선 필레, 신선 또는 냉장, 나일 농어(Lates niloticus)"
030439,"생선 필레, 신선 또는 냉장, 잉어(WCO에서 지정한 것), 뱀장어(앵귈라과), 뱀장어(찬나과)"
030441,"생선 필레; 신선 또는 냉장, 연어, 태평양 연어(Oncorynchus nerka, Oncorynchus gorbuscha, Oncorynchus keta, Oncorynchus tschawytscha, Oncorynchus kisutch, Oncorynchus masou 및 Oncorynchus rhodurus), 대서양(살모 살라), 도나우(Hucho hucho)."
030442,"생선 필레; 신선 또는 냉장 송어(살모 트루타, 온코린치스 미키스, 온코린치스 클라키, 온코린치스 아구아보니타, 온코린치스 길래, 온코린치스 아파치, 온코린치스 크리소가스터)"
030443,"생선 필레; 신선하거나 차게 식힌 납작한 생선(흉어과, 양어과, 시노글로시과, 솔레이과, 스코프탈미과, 시타리과)"
030444,"생선 필레, 신선 또는 냉장, 브레마세로티과, 유클리치티과, 가디과, 마크루리과, 멜라노니과, 멀루치과, 모리과, 무라에놀레피디과에 속하는 생선류"
030445,"생선 필레; 신선 또는 냉장, 황새치(Xiphias gladius)"
030446,"생선 필레, 신선 또는 냉장, 이빨고기(Dissostichus spp.)"
030447,"생선 필레; 신선 또는 냉장, 개복치 및 기타 상어"
030448,"생선 필레, 신선 또는 냉장, 가오리 및 스케이트 (라지대)"
030449,"생선 필레, 신선 또는 냉장 0304.4의 생선 이외의 것"
030451,"생선 살코기(다진 여부와 상관없이 필레 제외), 신선 또는 냉장, 틸라피아, 메기, 잉어, 장어, 나일 농어, 뱀장어"
030452,"다진 여부에 관계없이 필레를 제외한 생선살, 신선 또는 냉장, 연어목 생선살"
030453,"다진 여부와 상관없이 신선 또는 냉장 상태의 브레그마세로티과, 유클리치티과, 가디과, 마크루리과, 멜라노니과, 멀루치과, 모리과, 무라에놀레피디과 어육(필렛 제외)"
030454,"다진 여부에 관계없이 필레를 제외한 생선 살코기, 신선 또는 냉장 황새치(시피아스 글라디우스)"
030455,"다진 여부에 관계없이 필레를 제외한 생선 살코기, 신선 또는 냉장 이빨고기(디소스티쿠스 종)"
030456,"생선살, 다진 여부에 관계없이 필레, 신선 또는 냉장, 개복치 및 기타 상어 제외"
030457,"생선살, 다진 여부에 관계없이 필레 제외, 신선 또는 냉장, 가오리 및 스케이트(라지대)"
030459,"어육; 다진 여부에 관계없이 필레를 제외한, 신선하거나 냉장된 생선 n.e.c.의 품목 번호. 0304.5"
030461,"생선 필레, 냉동, 틸라피아(오레오크로미스 종)"
030462,"생선 필레; 냉동, 메기(판가시우스 종, 실루루스 종, 클라리아스 종, 익탈루루스 종)"
030463,"생선 필레, 냉동, 나일 농어(후기 닐로티쿠스)"
030469,"생선 필레; 냉동, 잉어(키프리누스/카라시우스/테노파리고돈 이델루스/하이포팔미치스/시리누스/밀로파리고돈 피세우스/카틀라카틀라/라베오/오스테오칠루스 하셀티/렙토바루스 회베니/메갈로브라마), 뱀장어(앙길라), 뱀장어(찬나)."
030471,"생선 필레; 냉동, 대구(가두스 모화, 가두스 오가크, 가두스 마크로세팔루스)"
030472,"생선 필레, 냉동, 대구(멜라노그램무스 에글피누스)"
030473,"생선 필레; 냉동, 석탄 생선 (Pollachius 비렌스)"
030474,"생선 필레, 냉동, 대구(메를루치우스, 우로피시스)"
030475,"생선 필레, 냉동, 알래스카 명태(테라그라 칼코그램마)"
