HSCode,Description
105991010,"Poultry; live ducks, geese, turkeys, guinea fowl, weighing 185 grams or more; ducks; breeding stock"
105991090,"Poultry; live ducks, geese, turkeys, guinea pigs, poultry weighing 185 grams or more; ducks; other"
105992000,"Poultry; live ducks, geese, turkeys, guinea pigs, poultry weighing 185 grams or more; turkeys"
105999000,"Poultry; live ducks, geese, turkeys, guinea pigs, poultry weighing 185 grams or more; other"
106110000,"Mammals, living; primates; primates"
106121000,"Mammals; live whales, dolphins, and porpoises (mammals of the order Cetacea), manatees and dugongs (mammals of the order Sirenia), seals, sea lions, and walruses (mammals of the order Phoenippidae)."
106122000,"Mammals; live whales, dolphins, and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions, and walruses (mammals of the order Phoenippidae)."
106130000,Mammals; live camels and other members of the camelidae family [Camelidae]; camels and other members of the camelidae family [Camelidae].
106141000,"Mammals; Live rabbits, hares &amp; hares; Breeding stock"
106149000,"Mammals; Live Rabbits, Hares &amp; Hares; Other"
106191000,"Mammals; primates, whales, dolphins, mammals of the order Dolphinidae, manatees, mammals of the order Cirrhinae, seals, sea lions, walruses (mammals of the family Phinipidae), camels, other members of the order Camelidae, rabbits, and live animals other than rabbits; dogs"
106193000,"Mammals; primates, whales, dolphins, mammals of the order Dolphinidae, manatees, mammals of the order Cirrhinae, seals, sea lions, walruses (mammals of the family Phoenippidae), camels, other members of the order Camelidae, rabbits, and live animals other than rabbits; deer"
106194000,"Mammals; primates, whales, dolphins, mammals of the order Porpoise, mammals of the order Dolphinidae, manatees, mammals of the order Sirenia, seals, sea lions, walruses (mammals of the family Phinipidae), camels, other members of the order Camelidae, rabbits, and live animals other than rabbits; bears"
106195010,"Mammals; primates, whales, dolphins, mammals of the order Porpoise, mammals of the order Dolphinidae, manatees, mammals of the order Cirrhinae, seals, sea lions, walruses (mammals of the family Phoenippidae), camels, other members of the order Camelidae, rabbits, and live animals other than rabbits; foxes; breeding stock"
106195090,"Mammals; primates; whales, whales, dolphins, mammals of the order Porpoise, mammals of the order Dolphinidae, manatees, mammals of the order Sirenia, seals, sea lions, seahorses (mammals of the family Phoenippidae), camels, other members of the order Camelidae, rabbits and other live animals other than rabbits; foxes; other"
106196010,"Mammals; primates; whales, whales, dolphins, mammals of the order Dolphinidae, manatees, mammals of the order Cirrhinae, seals, sea lions, seahorses (mammals of the family Phoenippidae), camels, other members of the order Camelidae, rabbits, and live animals other than rabbits; mink; breeding stock"
106196090,"Mammals; primates, whales, dolphins, mammals of the order Dolphinidae, manatees, mammals of the order Cirrhinae, seals, sea lions, seahorses (mammals of the family Phoenippidae), camels, other members of the order Camelidae, rabbits, and live animals other than rabbits; mink; other"
106199000,"Mammals; primates, whales, dolphins, mammals of the order Dolphinidae, manatees, mammals of the order Cirrhinae, seals, sea lions, walruses (mammals of the family Phoenippidae), camels, other members of the order Camelidae, rabbits, and live animals other than rabbits."
106201000,"Reptiles, live animals (including snakes and turtles); snakes"
106202000,"Reptiles, live animals (including snakes and turtles); Zara"
106203000,"Reptiles, live animals (including snakes and turtles); turtles"
106209000,"Reptiles, live animals (including snakes and turtles); Other"
106310000,"Birds; live, birds of prey; birds of prey"
106320000,"Birds; live, citrarchidae; parrots [including parrots, parakeets, kookaburras, and sulfur parrots]."
106330000,"bird; live, ostrich; emu (Dromaius novaehollandiae); ostrich and emu [Dromaius novaehollandiae]]"
106390000,"Birds; live birds, excluding birds of prey, citraca, ostrich, and emu (Dromaius novaehollandiae); other"
106410000,"Insect; living, bee; bee"
106490000,"Insects, living things except bees; other"
106901000,"Animals; Live animals from Chapter 01, except mammals, reptiles, birds, and insects; Amphibians"
106903010,"Animals; living animals from Chapter 01, except mammals, reptiles, birds, and insects; annelids; midges"
106903020,"Animals; living animals of Chapter 01, except mammals, reptiles, birds, and insects; annelids; ciliates; live worms"
106903090,"Animals; living animals of Chapter 01, except mammals, reptiles, birds, and insects; annelids; other"
106909000,"Animals; living animals of Chapter 01, except mammals, reptiles, birds, and insects; other"
201100000,"Meat; fresh or chilled meat of bovine animals, carcasses and semi-carcasses; carcasses and semi-carcasses"
201201000,"Meat; bony parts of small animals (excluding carcasses and semiconductors), fresh or chilled; ribs"
201209000,"Meat; bony parts of small animals (excluding carcasses and semiconductors), fresh or refrigerated; other"
201300000,"Meat; boneless parts of bovine animals, fresh or chilled; boneless"
202100000,"Meat; frozen meat of bovine animals, carcasses and semi-carcasses; carcasses and semi-carcasses"
202201000,"Meat; bony parts of small animals (excluding carcasses and semiconductors), frozen foods; ribs"
202209000,Meat; bony parts of small animals (except carcasses and semiconductors); frozen foods; other
202300000,"Meat; Small Animal, Boneless Cuts, Frozen; Boneless"
203110000,"Meat; fresh or chilled meat of pigs, carcasses and semi-carcasses; carcasses and semi-carcasses"
203120000,"Meat; pork, ham, shoulder, and cuts thereof, fresh or refrigerated, with bones; pork leg and shoulder meat and cuts thereof, with bones only"
203191000,"Meat; of swine, n.e.c., heading no. 0203.1, fresh or chilled; pork belly"
203199000,"Meat; swine, n.e.c., heading no. 0203.1, Fresh or chilled; other"
203210000,"Meat; pork, carcasses and semi-carcasses, frozen; carcasses (屠體) and bisected carcasses (二分屠體)"
203220000,"Meat; pork, ham, shoulder, and cuts thereof, frozen with bones; pork leg and shoulder, and cuts thereof, with bones only"
203291000,"Meat; swine, heading no. 0203.2, Frozen; pork belly"
203299000,"Meat; swine, heading no. 0203.2, Frozen; other"
204100000,"Meat; sheep, lamb carcasses and partially cooked carcasses, fresh or chilled; carcasses and bipartite carcasses of young cotton sheep, fresh or chilled"
204210000,"Meat; sheep, carcasses and semi-carcasses (except carcasses and semi-carcasses of lamb), fresh or chilled; carcasses and bisected carcasses"
204220000,"Meat; sheep (including lamb), bony parts (excluding carcasses and semiconductors), fresh or chilled; other, cut to bone"
204230000,"Meat; sheep (including lamb), boneless cuts, fresh or chilled; boneless"
204300000,"Meat; sheep, lamb carcasses and half carcasses, frozen; carcasses and bipartite carcasses of young cotton lambs, frozen only"
204410000,"Meat; sheep, carcasses and semi-finished products (except carcasses and semi-finished products of lamb), frozen products; carcasses and bisected carcasses"
204420000,"Meat; sheep (including lamb), bony parts (excluding carcasses and semiconductors), frozen foods; other, cut to the bone"
204430000,"Meat; lamb (including mutton), boneless cuts, frozen; boneless"
204500000,"Meat; goat, fresh, chilled or frozen products; meat of goat"
205000000,"Meat; fresh, chilled, or frozen products of horses, asses, mules, or hinnies; meat of horses, donkeys, mules, and birds of prey (fresh, chilled, or frozen only)"
206100000,"Offal, edible; fresh or refrigerated; of bovine animals; of bovine origin (limited to fresh or refrigerated)"
206210000,"Offal, edible; small animal, tongue, frozen; tongue"
206220000,"Offal, edible; small animal, liver, frozen; liver"
206291000,"Offal, edible; frozen products of bovine animals (except tongue and liver); tails"
206292000,"Offal, edible; frozen products of bovine animals (except tongue and liver); foot"
206299000,"Offal, edible; frozen products of bovine animals (except tongue and liver); other"
206300000,"offal, edible; pork, fresh or chilled; of pigs (limited to fresh or chilled)"
206410000,"Offal, Edible; Pork, Liver, Frozen; Liver"
206491000,"Offal, edible, pig (except liver), frozen; foot"
206499000,"Offal, Edible, Pork (except Liver), Frozen; Other"
206800000,"Offal, edible; fresh or chilled from sheep, goat, horse, ass, mule, or hinny; other (limited to fresh or chilled)"
206900000,"Offal, edible; frozen products of sheep, goats, horses, asses, mules, or hinnies; other, but only frozen"
207110000,"Meat and edible offal; chickens of the species Gallus domesticus, fresh or chilled, not cut into pieces; uncut flesh, fresh or chilled"
207120000,"Meat and edible offal; poultry of the species Gallus domesticus, frozen, not cut into pieces; uncut meat, but only frozen"
207131000,"Meat and edible offal; poultry of Gallus domesticus species, fresh or chilled, cut and offal; cut meat"
207132010,"Meat and edible offal; poultry of Gallus domesticus species, fresh or chilled, cut and offal; tongue meat (屑肉); liver"
207132090,"Meat and edible offal; poultry of Gallus domesticus species, fresh or chilled, cut and offal; tongue meat (屑肉); other"
207141010,"Meat and edible offal; poultry of Gallus domesticus species, cut and offal, frozen; cut meat; legs"
207141020,"Meat and edible offal; poultry of Gallus domesticus species, cut up and offal, frozen; cut meat; breast"
207141030,"Meat and edible offal; poultry of Gallus domesticus species, cut and offal, frozen; cut meat; wings"
207141090,"Meat and edible offal; poultry of Gallus domesticus species, cut and offal, frozen; cut meat; other"
207142010,"Meat and edible offal; poultry of Gallus domesticus species, cut and gutted, frozen; tongue meat; liver"
207142090,"Meat and edible offal; poultry of Gallus domesticus species, cut and gutted, frozen; tongue meat; other"
207240000,"Turkey meat and edible offal, fresh or refrigerated turkey meat not cut into pieces; uncut meat (fresh or refrigerated only)"
207250000,"Meat and edible offal, turkey, frozen turkey not cut into pieces; uncut meat (frozen only)"
207261000,"Meat and edible offal, turkey, cuts and organs, fresh or refrigerated; cuts"
207262010,"Meat and edible offal; turkey, cuts and offal, fresh or refrigerated; tongue; liver"
207262090,"Meat and edible offal, turkey, parts and organs, fresh or refrigerated; snow meat; other"
207271000,"Meat and edible offal, turkey, cuts and organs, frozen products; cut meats"
207272010,"Meat and edible offal, turkey, cuts and offal, frozen products; tongue; liver"
207272090,"Meat and edible offal, turkey, cuts and offal, frozen products; tongue meat; other"
207410000,"Meat and edible offal, fresh or refrigerated, not cut into pieces in the case of duck; uncut meat, fresh or refrigerated, only"
207420000,"Meat and edible offal, uncut into pieces; frozen duck; uncut meat (frozen only)"
207430000,"Meat and edible offal, duck, fatty liver (foie gras), fresh or refrigerated; fatty liver (fresh or refrigerated only)"
207441000,"Meat and edible offal, duck, cuts, and organs (excluding fatty liver, fresh or chilled); cut meats"
207442010,"Meat and edible offal, duck, parts and organs (excluding fatty liver, fresh or chilled); tongue; liver"
207442090,"Meat and edible offal, duck, parts and organs (excluding fatty liver, fresh or chilled); tongue meat (屑肉); other"
207451000,"Meat and edible offal, except fatty liver of ducks; frozen; cuts of meat; cuts of meat"
207452010,"Meat and edible offal, except fatty liver of duck, frozen; tongue meat; liver"
207452090,"Meat and edible offal, except fatty liver of duck; frozen; tongue meat; other"
207510000,"Meat and edible offal, goose not cut into pieces, fresh or chilled; uncut meat, fresh or chilled"
207520000,Meat and edible offal; for geese frozen without being cut into pieces; uncut flesh (limited to frozen)
207530000,"Meat and edible offal, goose, fatty liver (foie gras), fresh or refrigerated; fatty liver (fresh or refrigerated only)"
207541000,"Goose, parts and organs, fresh or chilled, except meat and edible offal, fatty liver; cut meats"
207542010,"Goose, parts and organs, fresh or chilled, except meat and edible offal, fatty liver; tongue; liver"
207542090,"Goose, parts and organs, fresh or chilled, except meat and edible offal, fatty liver; tongue meat; other"
207551000,"Meat and edible offal, cuts and organs, except fatty liver of geese, frozen; cut meats"
207552010,"Meat and edible offal, except fatty liver of geese, frozen; tongue meat; liver"
207552090,"Meat and edible offal, except fatty liver of geese; frozen; tongue meat; other"
207601000,"Meat and edible offal; guinea pigs, fresh, chilled, or frozen; uncut meat (limited to fresh or chilled)"
207602000,"Meat and edible offal, guinea pigs, fresh, chilled or frozen; uncut meat (frozen only)"
207603100,"Meat and edible offal; guinea pigs, fresh, chilled or frozen; other (limited to fresh or chilled); cut meats"
207603210,"Meat and edible offal; guinea pigs, fresh, chilled or frozen; other (limited to fresh or chilled); tongue meat; liver"
207603290,"Meat and edible offal, guinea pigs, fresh, chilled or frozen; other (limited to fresh or chilled); tongue meat; other"
207604100,"Meat and edible offal; guinea pigs, fresh, chilled or frozen; other (limited to frozen); cut meats"
207604210,"Meat and edible offal; guinea pigs, fresh, chilled or frozen; other (limited to frozen); tongue meat; liver"
207604290,"Meat and edible offal, guinea pigs, fresh, chilled or frozen; other (limited to frozen); tongue meat; other"
208100000,"Meat and edible meat offal, rabbit or rabbit's fresh, chilled or frozen products; of rabbits"
208300000,"Meat and edible meat organs, fresh, chilled or frozen, of primates; of primates"
208401000,"Fresh, chilled or frozen products of whales, dolphins, mammals of the order Cetacea, manatees, dugongs, seals, sea lions, walruses, mammals of the order Elephantidae, and mammals of the order Pinnipedidae; whales ? Dolphins and porpoises (mammals of the order Cetacea), manatees and dugongs (mammals of the order Manatee)"
208402000,"Fresh, chilled, or frozen products of whales, dolphins, mammals of the order Cetacea, manatees, mammals of the order Dugong, seals, sea lions, walruses, and mammals of the order Phoenippidae; and seals, sea lions, and walruses (mammals of the order Porpoise)"
208500000,"Meat and edible meat offal; reptiles (including snakes and turtles), fresh, chilled, or frozen; reptiles (including snakes and turtles)"
208600000,"Meat and edible offal, fresh, chilled or frozen; from camels and other members of the family Camelidae"
208901000,"Meat and edible offal, fresh, chilled or frozen, see Chapter 2; from deer"
208909010,"Meat and edible offal, fresh, chilled or frozen, see Chapter 2; other; from marine animals"
208909090,"Meat and edible offal, fresh, chilled or frozen, see Chapter 2; Other; Other"
209100000,"Fat; pork fat, lean, not rendered or otherwise extracted, fresh, chilled, frozen, salted, brined, dried or smoked; of swine"
209900000,"Fats; poultry fat, rendered or otherwise unextracted, fresh, chilled, frozen, salted, brined, dipped in brine, dried or smoked; other"
210110000,"Meat; brined, dried, or smoked; pork, ham, shoulder, and cuts thereof, with bones; broad leg and shoulder meat and cuts thereof, with bones only"
210120000,"Meat; salted, brined, dried or smoked, pork, belly (striped) and parts thereof; abdominal meat (pork belly) and cuts thereof"
210190000,"Meat; brined, dried or smoked, pork, misc. item no. 0210.1; Other"
210201000,"Meat; meat of bovine animals, cured, brined, dried or smoked; dried or smoked"
210209000,"Meat; meat of bovine animals, salted, brined, dried or smoked; other"
210910000,"Meat and edible meat offal, salted, dried or smoked, and edible flour of primates and food products made from meat or meat offal; of primates"
210921000,"Meat and edible meat offal, salted, brined, dried or smoked; edible flour; edible meat products made from meat or meat offal of whales, dolphins, porpoises (Cetacea); manatees, dugongs (Sirenia); seals, sea lions, walruses (suborder Pinipidae); whales ? Dolphins and bottlenose dolphins (mammals of the order Cetacea), manatees and dugongs (mammals of the order Manatee)."
210922000,"Meat and edible meat offal, salted, brined, dried or smoked; edible flour; edible meat products made from meat or meat offal of whales, dolphins and porpoises (Cetacea: Cetacea); manatees and dugongs (Sirenia: Sirenia); seals, sea lions and walruses (suborder Phoenippidae); mammals of the suborder Phoenippidae"
210930000,"Meat and edible meat offal, salted, dried or smoked; edible flour and edible foodstuffs made from meat or meat offal of reptiles (including snakes and turtles); and reptiles (including snakes and turtles)"
210991010,"Meat and edible meat offal, salted, brined, dried or smoked, edible flour and food made from meat or meat offal, except from primates, whales, dolphins, porpoises, walruses, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles); edible fine and coarse powder of meat or tongue; from cattle"
210991090,"Meat and edible meat offal, salted, brined, dried or smoked, except from primates, whales, dolphins, porpoises, walruses, manatees, dugongs, seals, sea lions, walruses, seahorses, reptiles (including snakes and turtles); edible flour and foods made from meat or meat offal; edible fine or coarse powder of meat or tongue; etc."
210999020,"Meat and edible meat offal, salted, brined, dried or smoked, edible flour and food made from meat or meat offal, except from primates, whales, dolphins, porpoises, walruses, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles); other; poultry"
210999090,"Meat and edible meat offal, salted, brined, dried or smoked, edible flour and food products made from meat or meat offal, except from primates, whales, dolphins, porpoises, walruses, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles); other; other"
301111000,"Fish; live, ornamental, freshwater; koi; bighead carp"
301119000,"Fish; live, ornamental, freshwater; other"
301190000,"Fish; living, ornamental, other than freshwater; misc."
301910000,"Fish; live fish, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarkii, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache, Oncorhynchus chrysogaster); Trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gillae, Oncorhynchus apache, Oncorhynchus chrysogaster Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache, Oncorhynchus chrysogaster]"
301921000,"Fish; live fish, eels (anglerfish family); live eels (0.3 grams or less per individual, limited to aquaculture)"
301922000,"Fish; live fish, eels (anglerfish family); baby eels (not more than 0.3 grams and not less than 50 grams per individual, limited to aquaculture)"
301929010,"Fish; Live fish, eels (Monkfish family); Other; Live eels (except for aquaculture)"
301929090,"Fish; Live Fish, Eels (Anglerfish family); Other; Other"
301931000,"Fish; live fish, carp (Cyprinus, Carassius, Tenoparigodon idellus, Hypophthalmichthys, Cirrhinus, Miloparigodon piceus, Catla catla, Labeo, Osteochilus hasseltii, Leptobarbus höbbeni, Megalobrama, etc."
301939000,"Fish; live fish, carp (Cyprinus, Caracius, Tenoparigodon idellus, Hypopalmitis, Cirrhinus, Miloparigodon piceus, Catla catla, Labeo, Osteochilus hasseltii, Leptobarbus höbbeni, Megalobrama, etc.); other"
301940000,"Fish; live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis); Atlantic and Pacific bluefin tuna [Thunnus thynnus and Thunnus orientalis]; live Atlantic and Pacific bluefin tuna [Thunnus thynnus and Thunnus orientalis]."
301950000,Fish; live southern bluefin tuna (Thunnus maccoyii); southern bluefin tuna [Thunnus maccoyii]]
301992000,"Fish; living things, other (0301 class); yellowtail"
301994010,"Fish; living things, other (Class 0301); domes; fishes (稚魚) (for aquaculture only)"
301994091,"Fish; live, other (class 0301); domes; other; red snapper [Pagrus major]; tilefish"
301994099,"Fish; Living things, other (0301 class); Domes; Misc."
301995000,"Fish; live, other (0301); conger eel"
301996000,"Fish; living things, other (0301 class); flatfish"
301997000,"Fish; living things, other (0301 class); eels"
301998000,"Fish; living, other (Class 0301); halibut [Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae, Citharidae]."
301999010,"Fish; living things, other (class 0301); other; active words"
301999020,"Fish; living things, other (0301 class); other; pufferfish"
301999040,"Fish; live, other (0301 class); other; rockfish (including red fish)"
301999051,"Fish; live, other (Class 0301); other; perch; perch (稚魚) (for aquaculture only)"
301999059,"Fish; live, other (0301 class); other; sea bass; etc."
301999060,"Fish; living things, other (0301 class); other; mullet"
301999070,"Fish; living things, other (0301 class); other; loaches"
301999080,"Fish; living things, other (0301 class); other; catfish"
301999091,"Fish; living things, other (class 0301); misc."
301999092,"Fish; living things, other (class 0301); other; miscellaneous; crucian carp [except genus Carassius]."
301999095,"Fish; living things, other (0301 class); miscellaneous; miscellaneous; misc."
301999099,"Fish; living things, other (0301 class); miscellaneous; miscellaneous; miscellaneous; miscellaneous"
302110000,"Fish; trout (Salmo trutta, Oncorhynchus mikis, Oncorhynchus clarkii, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache, Oncorhynchus chrysogaster), fresh or chilled, except fillets; fish meat of 0304 and edible fish offal of 0302.9.; Trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache, Oncorhynchus chrysogaster]"
302130000,"Fish; fresh or chilled, Pacific salmon (Oncorynchus nerka, Oncorynchus gorbuscha, Oncorynchus keta, Oncorynchus tschawytscha, Oncorynchus kisutch, Oncorynchus masou, Oncorynchus rhodurus), excluding fillets; includes flesh of 0304; edible fish offal of 0302.9.; Pacific salmon [Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus]"
302140000,"Fish; fresh or chilled, except Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), fillets, fish meat of heading 0304 and edible fish offal of subheading 0302.91 to 0302.99; Atlantic salmon [Salmo salar] and Danube salmon [Hucho hucho]; fresh or chilled"
302190000,"Fish; fresh or chilled, salmonidae, of heading no. 0302.1, fillets, except fish meat of 0304 and edible fish offal of subheading 0302.91 to 0302.99; other"
302210000,"Fish; fresh or chilled, halibut [Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis], fillets, of 0304, except fish meat and edible offal of subheading 0302.91 to 0302.99, except edible offal; halibut [Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis]"
302220000,"Fish; fresh or chilled, except flounder [Pleuronectes platessa], fillets, fish meat of heading 0304 and edible fish offal of subheading 0302.91 to 0302.99"
302230000,"Fish; fresh or chilled, except flounder (family Solea), fillets, fish meat of heading 0304 and edible fish offal of subheadings 0302.91 to 0302.99; West Indian [genus Solea"
302240000,"Fish; fresh or chilled, except turbots (Psetta maxima, Scophthalmidae), fillets, fish meat of heading 0304 and edible fish offal of subheadings 0302.91 to 0302.99; turbots [Psetta maxima]"
302290000,"Fish; fresh or chilled, flattened, of heading no. 0302.2, except fillets, fish meat of 0304 and edible fish offal of subheading 0302.91 to 0302.99; other"
302310000,"Fish; fresh or chilled, except albacore or longfin tuna (Thunnus alalunga), fillets, fish meat of heading 0304 and edible fish entrails of subheading 0302.91 to 0302.99; winged or longfin tuna [Thunnus alalunga]"
302320000,"Fish; yellowfin tuna (Thunnus albacares), fresh or chilled, fillets, except fish meat of heading 0304 and edible fish offal of subheading 0302.91 to 0302.99; yellowfin tuna [Thunnus albacares]."
302330000,"Fish; bonito (striped bonito) (Katsuwonus pelamis), fresh or chilled, fillets, except fish meat of 0304 and edible fish entrails of subheading 0302.91 to 0302.99; skipjack tuna (striped vernito) [Katsuwonus pelamis]; and"
302340000,"Fish; fresh or chilled, except bluefin tuna (Thunnus obesus), fillets, fish meat of heading 0304 and edible fish entrails of subheading 0302.91 to 0302.99; snowy tuna [Thunnus obesus]"
302351000,"Fish; fresh or chilled, Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis), fillets, except fish meat of heading 0304 and edible fish entrails of subheading 0302.91 to 0302.99; Atlantic bluefin tuna [Turner's tuna (Thunnus thynnus)]"
302352000,"Fish; fresh or chilled, except fillets, fish meat of heading 0304 and edible fish guts of subheading 0302.91 to 0302.99; Atlantic and Pacific bluefin tuna [Thunnus thynnus, Thunnus orientalis], fresh or chilled"
302360000,"Fish; fresh or chilled, except southern bluefin tuna (Thunnus maccoyii), fillets, fish meat of heading 0304 and edible fish offal of subheadings 0302.91 to 0302.99; southern bluefin tuna [Thunnus maccoyii]"
302390000,"Fish; fresh or chilled, tuna, of heading no. 0302.3, fillets, except fish meat of 0304 and edible fish offal of subheading 0302.91 to 0302.99; other"
302410000,"Fish; fresh or chilled, except herring [Clupea harengus, Clupea pallasii], fillets, fish meat of heading 0304 and edible fish offal of subheadings 0302.91 to 0302.99"
302420000,"Fish; fresh or chilled, except anchovies (Engraulis spp.), fillets, fish meat of heading 0304 and edible fish offal of subheadings 0302.91 to 0302.99; anchovies [genus Engraulis]"
302430000,"Fish; fresh or chilled, sardines (Sardina pilchardus, Sardinops species), sardines (Sardinella species), brill or sprats (Spratus spratus), fillets, fish meat of heading 0304, and subheadings 0302.91 to 0302.99, except edible fish offal; sardines [of the genera Sardina pilchardus and Sardinops], sardinellas [of the genus Sardinella], brisling or sprats [of the genus Sprattus sprattus], fillets"
302440000,"Fish; fresh or chilled, except mackerel [Scomber scombrus, Scomber australasicus, Scomber japonicus], fillets, fish meat of heading 0304 and edible fish offal of subheading 0302.91 to 0302.99"
302450000,"Fish; fresh or chilled, except horse mackerel and horse mackerel (trilobites), fillets, fish meat of heading 0304 and edible fish offal of subheadings 0302.91 to 0302.99; horse mackerel [genus Trachurus]"
302460000,"Fish; fresh or chilled, except cobia (Rachycentron canadum), fillets, fish meat of heading 0304 and edible fish offal of subheadings 0302.91 to 0302.99; raw [Rachycentron canadum]"
302470000,"Fish; fresh or chilled, except swordfish (Xiphias gladius), fillets, fish meat of heading 0304 and edible fish offal of subheading 0302.91 to 0302.99; swordfish [Xiphias gladius]"
302491000,"Fish; fresh or chilled, n.e.c., of heading no. 0302.4, except fillets, fish meat of 0304 and edible fish entrails of subheading 0302.91 to 0302.99; Spanish mackerel [genus Scomberomorus"
302492000,"Fish; fresh or chilled, n.e.c., of heading no. 0302.4, except fillets, fish meat of 0304 and edible fish entrails of subheading 0302.91 to 0302.99; bottlefish [genus Pampus"
302493000,"Fish; fresh or chilled, n.e.c., of heading no. 0302.4, except fillets, fish meat of 0304 and edible fish offal of subheading 0302.91 through 0302.99; saury [Cololabis saira]"
302499000,"Fish; fresh or chilled, n.e.c., of heading no. 0302.4, except fillets, fish meat of 0304, and edible fish offal of subheading 0302.91 to 0302.99; other"
302510000,"Fish; fresh or chilled, except cod [Gadus morhua, Gadus ogac, Gadus macrocephalus], fillets, fish meat of heading 0304 and edible fish offal of subheading 0302.91 to 0302.99"
302520000,"Fish; fresh or chilled, except cod (Melanogrammus aeglefinus), fillets, fish meat of heading 0304 and edible fish offal of subheading 0302.91 to 0302.99; sea duck [Melanogrammus aeglefinus]"
302530000,"Fish; fresh or chilled, except coalfish [Pollachius virens], fillets, fish meat of heading 0304 and edible fish offal of subheading 0302.91 to 0302.99; black cod [Pollachius virens]"
302540000,"Fish; fresh or chilled, except cod (Merluccius, Urophycis), fillets, fish meat of heading 0304 and edible fish offal of subheadings 0302.91 to 0302.99; cod [genus Merluccius and genus Urophycis"
302550000,"Fish; fresh or chilled, except Alaskan pollock (Theragra chalcogramma), fillets, fish meat of heading 0304, and edible fish offal of subheading 0302.91 to 0302.99; pollock [Theragra chalcogramma];..."
302560000,"Fish; fresh or chilled, except marlin (Micromesistius poutassou, Micromesistius australis), fillets, fish meat of heading 0304 and edible fish entrails of subheading 0302.91 to 0302.99; blue whitings [Micromesistius poutassou, Micromesistius australis]; blue whiting (Micromesistius poutassou, Micromesistius australis)"
